Year,Branch_Name,CAP_Round,College_Code,College_Name,Location,College_Type,Category,Seat_Type,Gender,Rank,Percentile
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,3738,94.9959604
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENH,Home University,Ladies,4121,94.5983237
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCH,Home University,Ladies,4404,94.2772446
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENO,Other than Home University,Any,1631,97.5207028
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSTO,Other than Home University,Any,15660,82.353843
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,EWS,Special,Any,2732,96.2249249
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,1198,98.1013936
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT3H,Home University,Any,3012,95.8299264
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCH,Home University,Any,1280,97.9916189
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENO,Other than Home University,Any,1284,97.9916189
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCO,Other than Home University,Any,1811,97.3019142
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT2O,Other than Home University,Any,2576,96.3837417
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCO,Other than Home University,Any,1436,97.8294729
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENO,Other than Home University,Ladies,1189,98.1091578
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,TFWS,Special,Any,1127,98.2043343
2022-23,B Pharmacy,CAP Round III,01003,"Government College of Pharmacy, Amravati",Amravati,Government,EWS,Special,Any,1263,98.0496365
2022-23,B Pharmacy,CAP Round III,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOPENH,Home University,Any,10401,87.8418534
2022-23,B Pharmacy,CAP Round III,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LOPENO,Other than Home University,Ladies,13260,84.7681123
