Year,Branch_Name,CAP_Round,College_Code,College_Name,Location,College_Type,Category,Seat_Type,Gender,Rank,Percentile
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,1556,96.1430089
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCH,Home University,Any,5139,90.0233934
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSTH,Home University,Any,3884,91.962111
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCH,Home University,Any,2581,94.2754919
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSEBCH,Home University,Any,18351,72.8590432
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENH,Home University,Ladies,570,98.2493029
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LVJH,Home University,Ladies,5222,89.9019069
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LNT2H,Home University,Ladies,17073,74.2992711
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCH,Home University,Ladies,1048,97.1284387
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,PWDOPENH,Home University,Any,32215,53.7016125
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LSEBCH,Home University,Ladies,2458,94.4430857
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENO,Other than Home University,Any,583,98.201655
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCO,Other than Home University,Any,2714,94.0597718
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT1O,Other than Home University,Any,4756,90.6800425
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCO,Other than Home University,Any,849,97.5492834
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSEBCO,Other than Home University,Any,1313,96.5657378
2025-26,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENO,Other than Home University,Ladies,541,98.3123808
