Year,Branch_Name,CAP_Round,College_Code,College_Name,Location,College_Type,Category,Seat_Type,Gender,Rank,Percentile
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,2133,96.9167164
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GVJH,Home University,Any,5156,93.4092883
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT1H,Home University,Any,5272,93.2309242
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENH,Home University,Ladies,3772,94.961161
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LSCH,Home University,Ladies,5045,93.525143
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCH,Home University,Ladies,4121,94.5983237
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENO,Other than Home University,Any,1252,98.0555695
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSTO,Other than Home University,Any,25564,72.3248554
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCO,Other than Home University,Ladies,831,98.6063421
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,DEFOPENS,State Level,Any,13987,84.0946864
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,EWS,Special,Any,2166,96.8834619
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,1053,98.281666
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCH,Home University,Any,2819,96.0771411
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT3H,Home University,Any,2131,96.9167164
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCH,Home University,Any,1192,98.1091578
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENH,Home University,Ladies,875,98.5429332
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCH,Home University,Ladies,1188,98.1091578
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,PWDOPENH,Home University,Any,1212,98.0892045
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENO,Other than Home University,Any,923,98.4707946
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GVJO,Other than Home University,Any,3965,94.7290312
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT1O,Other than Home University,Any,2709,96.244827
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT2O,Other than Home University,Any,1259,98.0555695
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCO,Other than Home University,Any,977,98.377129
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENO,Other than Home University,Ladies,983,98.3599856
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCO,Other than Home University,Ladies,1103,98.2170737
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,DEFOPENS,State Level,Any,2531,96.4249646
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,TFWS,Special,Any,305,99.3820027
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,EWS,Special,Any,1080,98.2283863
2022-23,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,ORPHAN,Special,Any,51388,32.3691741
2022-23,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOPENH,Home University,Any,11946,86.1344749
2022-23,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GVJH,Home University,Any,15144,82.902615
2022-23,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GNT3H,Home University,Any,47707,40.4844644
2022-23,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LOPENH,Home University,Ladies,10142,88.0680639
2022-23,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOPENO,Other than Home University,Any,11559,86.4863518
2022-23,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GSCO,Other than Home University,Any,18320,79.7157086
