Year,CAP_Round,College_Code,College_Name,Location,College_Type,Branch_Code,Branch_Name,Category,Seat_Type,Gender,Rank,Percentile
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GOPENS,State Level,Any,28591,90.4057549
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GSCS,State Level,Any,45021,84.524207
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GOBCS,State Level,Any,35751,87.9526086
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GSEBCS,State Level,Any,97487,63.0701676
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LSTS,State Level,Ladies,145122,34.5790896
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LVJS,State Level,Ladies,66354,76.5404634
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LNT2S,State Level,Ladies,72774,73.8893284
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LSEBCS,State Level,Ladies,142686,36.0381755
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,PWDOPENS,State Level,Any,168151,14.0490445
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,EWS,Special,Any,76123,72.6095528
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GOPENS,State Level,Any,7574,97.4656463
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GOBCS,State Level,Any,7985,97.3461799
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GSEBCS,State Level,Any,18083,93.9913601
