Year,Branch_Name,CAP_Round,College_Code,College_Name,Location,College_Type,Category,Seat_Type,Gender,Rank,Percentile
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,2088,95.0999267
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCH,Home University,Any,2789,93.9452319
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LVJH,Home University,Ladies,42315,34.9775785
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LSEBCH,Home University,Ladies,37452,44.9853319
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSEBCH,Home University,Any,2582,94.2754919
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,PWDOPENH,Home University,Any,8008,85.8969691
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCO,Other than Home University,Any,1414,96.3785856
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,DEFOPENS,State Level,Any,9875,83.3576044
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,EWS,Special,Any,7644,86.3326782
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,1601,96.0524385
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCH,Home University,Any,2644,94.1294257
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT1H,Home University,Any,2202,94.8672079
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCH,Home University,Any,1881,95.4759487
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSEBCH,Home University,Any,2551,94.2788484
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LSCH,Home University,Ladies,2734,94.0597718
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCH,Home University,Ladies,1794,95.689537
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,PWDOPENH,Home University,Any,7225,86.9832325
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENO,Other than Home University,Any,1429,96.3734777
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSTO,Other than Home University,Any,4266,91.344316
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCO,Other than Home University,Any,1485,96.2877352
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSEBCO,Other than Home University,Any,1537,96.1877771
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENO,Other than Home University,Ladies,644,98.0481785
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LSCO,Other than Home University,Ladies,2243,94.8263419
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCO,Other than Home University,Ladies,1123,96.992275
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LSEBCO,Other than Home University,Ladies,1593,96.0811498
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,DEFOPENS,State Level,Any,4096,91.7047923
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,TFWS,Special,Any,488,98.5051762
2025-26,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,EWS,Special,Any,4288,91.3015715
2025-26,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOPENH,Home University,Any,10050,82.9815065
2025-26,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GSCH,Home University,Any,15495,76.1597181
2025-26,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GVJH,Home University,Any,12364,80.1947756
2025-26,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GNT2H,Home University,Any,11027,81.861762
2025-26,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOBCH,Home University,Any,11182,81.6303793
2025-26,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LOPENH,Home University,Ladies,3553,92.6139984
2025-26,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LOBCH,Home University,Ladies,7389,86.7024202
2025-26,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOPENO,Other than Home University,Any,13519,78.601899
