Year,CAP_Round,College_Code,College_Name,Location,College_Type,Branch_Code,Branch_Name,Category,Seat_Type,Gender,Rank,Percentile
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GOPENS,State Level,Any,28216,91.7377622
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GNT2S,State Level,Any,55787,83.2058578
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GOBCS,State Level,Any,44981,86.6751751
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,DEFOPENS,State Level,Any,27996,91.7968608
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,GOPENS,State Level,Any,13465,96.1512986
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,GNT2S,State Level,Any,24489,92.8770798
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,LOPENS,State Level,Ladies,15196,95.635667
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,EWS,Special,Any,25512,92.5540912
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,GOPENS,State Level,Any,25688,92.52184
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,GOBCS,State Level,Any,28160,91.7513251
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,GSEBCS,State Level,Any,50107,85.0571556
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,LOBCS,State Level,Ladies,21656,93.7361801
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,EWS,Special,Any,62811,81.0133535
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100237210,Electronics and Telecommunication Engg,GOPENS,State Level,Any,14458,95.8324651
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100237210,Electronics and Telecommunication Engg,GSCS,State Level,Any,34764,89.8231024
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100237210,Electronics and Telecommunication Engg,GVJS,State Level,Any,57875,82.4521073
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100237210,Electronics and Telecommunication Engg,GSEBCS,State Level,Any,34019,90.0175917
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100237210,Electronics and Telecommunication Engg,LOPENS,State Level,Ladies,16085,95.3847746
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100237210,Electronics and Telecommunication Engg,DEFRSEBCS,State Level,Any,113654,61.6834321
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100237210,Electronics and Telecommunication Engg,EWS,Special,Any,33700,90.0917161
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100246610,Instrumentation Engineering,GOPENS,State Level,Any,31618,90.668828
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100246610,Instrumentation Engineering,GVJS,State Level,Any,114704,60.9090909
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100246610,Instrumentation Engineering,GOBCS,State Level,Any,34378,89.861767
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100246610,Instrumentation Engineering,DEFOPENS,State Level,Any,174647,26.7336064
2025-26,CAP Round IV,01002,"Government College of Engineering, Amravati",Amravati,Government,0100246610,Instrumentation Engineering,EWS,Special,Any,67532,79.6033896
