dte_code,dte_name,cap_code,cap_name,match_score,needs_review
EN2250,"AURANGABAD COLLEGE OF ENGINEERING, NAYGAON SAVANGI, AURANGAB",2250,"Aurangabad College of Engineering, Naygaon Savangi, Aurangab",1.0,
EN2252,MANDAL'S SHRI SHIVAJI INSTITUTE OF ENGINEERING AND MANAGEMEN,2252,Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute,0.56,YES
EN2254,"VILASRAO DESHMUKH FOUNDATION GROUP OF INSTITUTIONS, VDF SCHO",2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur",0.71,
EN2282,"TECHNOLOGY, LATUR Re MITTHULALJI SARDA POLYTECHNIC",2282,"Mitthulalji Sarada Institute Of Technology, Nalwandi Road, B",1.0,
EN2516,INTERNATIONAL CENTER OF EXCELLENCE IN ENGINEERING AND MANAGE,2516,International Centre Of Excellence In Engineering and Manage,0.6,
EN2522,"SANDIPANI TECHNICAL CAMPUS-FACULTY OF ENGINEERING, LATUR",2522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, L",0.71,
EN2533,"CSMSS CHH. SHAHU COLLEGE OF ENGINEERING, AURANGABAD",2533,"CSMSS Chh. Shahu College of Engineering, Aurangabad",1.0,
EN2641,SHRI SAI JANVIKAS PRATISTHAN'S SANCHALIT DR. V. K. PATIL COL,2641,Dr. V.K. Patil College of Engineering & Technology,0.4,YES
EN3135,MANJARA CHARITABLE TRUST'S RAJIV GANDHI Mumbai- INSTITUTE OF,3135,Manjara Charitable Trust's Rajiv Gandhi Institute of Technol,0.88,
EN3139,"VIDYALANKAR INSTITUTE OF TECHNOLOGY, Mumbai- WADALA, MUMBAI.",3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",0.75,
EN3146,JAWAHAR EDUCATION SOCIETY'S ANNASAHEB CHUDAMAN PATIL COLLEGE,3146,Jawahar Education Society's Annasaheb Chudaman Patil College,0.7,
EN3147,"SARASWATI EDUCATION SOCIETY, YADAVRAO TASAGAONKAR INSTITUTE ",3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute o",0.67,
EN3148,MAHAVIR EDUCATION TRUST'S SHAH & ANCHOR KUTCCHI ENGINEERING ,3148,Mahavir Education Trust's Shah & Anchor Kutchhi Engineering ,0.75,
EN3154,SARASWATI EDUCATION SOCIETY'S SARASWATI COLLEGE OF,3723,Navjeevan Education Society's College of Engineering,0.75,
EN3175,"M.G.M.'S COLLEGE OF ENGINEERING AND TECHNOLOGY, KAMOTHE, NAV",3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Nav",1.0,
EN3176,"TECHNOLOGY,SHYAMNARAYAN THAKUR Mumbai- MARG, THAKUR VILLAGE,",3143,"Thakur Shyamnarayan Engineering College, Mumbai",1.0,
EN3182,"THADOMAL SHAHANI ENGINEERING COLLEGE, Mumbai- BANDRA, MUMBAI",3182,"Thadomal Shahani Engineering College, Bandra, Mumbai",0.8,
EN3183,ANJUMAN-I-ISLAM'S M.H. SABOO SIDDIK Mumbai- COLLEGE OF ENGIN,3183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, ",0.91,
EN3184,"FR. CONCEICAO RODRIGUES COLLEGE OF Mumbai- ENGINEERING, BAND",3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumba",0.83,
EN3185,VIVEKANAND EDUCATION SOCIETY'S INSTITUTE Mumbai- OF TECHNOLO,3185,"Vivekanand Education Society's Institute of Technology, Chem",0.83,
