dte_code,dte_name,cap_code,cap_name,match_score,needs_review
EN5173,"SNJB'S COLLEGE OF ENGINEERING, (JAIN GURUKUL), NEMINAGAR,CHA",5173,SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engine,0.64,
EN5177,"MATOSHRI COLLEGE OF ENGINEERING AND RESEARCH CENTRE, EKLAHAR",5177,"Matoshri College of Engineering and Research Centre, Eklahar",1.0,
EN5179,"VISHWABHARATI ACADEMY'S COLLEGE OF ENGINEERING, AHMEDNAGAR",5179,"Vishwabharati Academy's College of Engineering, Ahmednagar",1.0,
EN5180,MANDAL'S BRAHMA VALLEY COLLEGE OF ENGINEERING AND RESEARCH I,5130,"Brahma Valley College of Engineering & Research, Trimbakeshw",0.6,
EN5181,"GOKHALE EDUCATION SOCIETY, COLLEGE OF ENGINEERING, NASHIK",3723,Navjeevan Education Society's College of Engineering,0.5,YES
EN5182,"KALYANI CHARITABLE TRUST, LATE GAMBHIRRAO NATUBA SAPKAL COLL",5182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal Coll",0.64,
EN5184,"AMRUTA VAISHNAVI EDUCATION & WELFARE TRUST'S, SHATABDI INSTI",5184,Amruta Vaishnavi Education & Welfare Trust's Shatabdi Instit,0.64,
EN5244,MET'S INSTITUTE OF TECHNOLOGY- POLYTECHNIC,5244,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge",1.0,
EN5303,"HON. SHRI. BABANRAO PACHPUTE VICHARDHARA TRUST, GROUP OF",5303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Ins",0.54,YES
EN5322,JAMIA INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,5239,JAMIA INSTITUTE OF TECHNOLOGY,0.5,YES
EN5330,"PUNE VIDYARTHI GRIHA'S COLLEGE OF ENGINEERING, NASHIK",5330,PUNE VIDYARTHI GRIHA’S COLLEGE OF ENGINEERING & SHRIKRUSHNA ,0.71,
EN5331,SANDIP INSTITUTE OF ENGINEERING & MANAGEMENT,5109,"Sandip Foundation, Sandip Institute of Technology and Resear",1.0,
EN5365,VARDHMAN EDUCATION &WELFARE SOCIETY'S AHINSA INSTITUTE OF TE,1116,Shri Shivaji Education Society's College of Engineering and ,0.5,YES
EN5380,AHINSA INSTITUTE OF TECHNOLOGY ADSUL'S TECHNICAL CAMPUS AHME,5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar",0.71,
EN5381,"SHRI. JAYKUMAR RAWAL INSTITUTE OF TECHNOLOGY, DONDAICHA",5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",1.0,
EN5382,"SHRI CHHATRAPATI SHIVAJI MAHARAJ COLLEGE OF ENGINEERING,NEPT",5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chh",0.45,YES
EN5390,KRANTIVEER VASANTRAO NARAYAN NAIK INSTITUTE OF ENGINEERING,5390,K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institut,1.0,
EN5396,KHANDESH BAHHUUDESHIYA SANSTHA'S COLLEGE OF ENGINEERING & TE,5106,Khandesh College Education Society's College Of Engineering ,0.4,YES
EN5399,COLLEGE OF ENGINEERING & TECHNOLOGY SANGHAVI COLLEGE OF ENGI,5399,"Sanghavi College of Engineering, Varvandi, Nashik.",0.5,YES
EN5401,"JAWAHAR EDUCATION SOCIETY'S INSTITUTE OF TECHNOLOGY, MANAGEM",5401,"Jawahar Education Society's Institute of Technology, Managem",0.83,
EN5408,NASHIK. Re VIDYA NIKETAN COLLEGE OF ENGINEERING,5408,"Vidya Niketan College of Engineering, Bota Sangamner",0.5,YES
EN5409,RAJIV GANDHI COLLEGE OF ENGINEERING,4163,Rajiv Gandhi College of Engineering Research & Technology Ch,0.5,YES
EN5411,MAULANA MUKHTAR AHMAD NADVI TECHNICAL CAMPUS,5411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",0.86,
EN5418,"GURU GOBIND SINGH COLLEGE OF ENGINEERING & RESEARCH CENTRE, ",5418,"Guru Gobind Singh College of Engineering & Research Centre, ",1.0,
EN5449,"SHRI VILE PARLE KELAVANI MANDAL�S INSTITUTE OF TECHNOLOGY,DH",5545,"Shri Vile Parle Kelavani Mandal's College of Engineering, Sh",0.86,
EN5497,P.G.COLLEGE OF ENGINEERING AND TECHNOLOGY,5497,"P.G. College of Engineering & Technology, Nandurbar",0.67,
EN6122,THE SHETKARI SHIKSHAN MANDAL SANGLI'S PD. VASANTDADA PATIL I,6269,Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institut,0.67,
EN6138,GENBA SOPANRAO MOZE TRUST'S PARVATIBAI GENBA MOZE COLLEGE OF,6138,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of E,0.71,
EN6139,PROGRESSIVE EDUCATION SOCIETY'S MODERN COLLEGE OF ENGINEERIN,6139,Progressive Education Society's Modern College of Engineerin,1.0,
EN6141,"JAYWANT SHIKSHAN PRASARAK MANDAL'S,RAJARSHI SHAHU COLLEGE OF",6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of",0.78,
EN6144,"ENGINEERING, TATHAWADE, PUNE G S MOZE COLLEGE OF ENGINEERONG",6179,"Indira College of Engineering & Management, Pune",0.5,YES
EN6145,"JAYAWANTRAO SAWANT COLLEGE OF ENGINEERING,PUNE",6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",0.4,YES
EN6146,MAEER PUNE'S MIT ACADEMY OF ENGINEERING,6146,"MIT Academy of Engineering,Alandi, Pune",0.6,
EN6149,"CHOUDHARY ATTARSINGH YADAV MEMORIAL EDUCATION TRUST'S, SIDDH",6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College o",0.4,YES
EN6155,"G.H.RAISONI COLLEGE OF ENGINEERING & MANAGEMENT, WAGHOLI, PU",6155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pu",1.0,
EN6156,"MARATHWADA MITRA MANDAL'S COLLEGE OF ENGINEERING, KARVENAGAR",6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar",1.0,
EN6175,"PIMPRI CHINCHWAD EDUCATION TRUST, PIMPRI CHINCHWAD COLLEGE O",6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College o",0.8,
EN6177,"SINHGAD COLLEGE OF ENGINEERING, VADGAON (BK), PUNE",6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",1.0,
EN6178,"STES SMT. KASHIBAI NAVALE COLLEGE OF ENGINEERING,VADGAON,PUN",6178,Sinhgad Technical Education Society's Smt. Kashibai Navale C,0.5,YES
EN6179,CHANAKYA EDUCATION SOCIETY'S INDIRA COLLEGE OF ENGINEERING &,2134,"Peoples Education Society's College of Engineering, Aurangab",0.6,
EN6182,"SINHGAD TECHNICAL EDUCATION SOCIETY, SINHGAD INSTITUTE OF TE",6182,"Sinhgad Technical Education Society, Sinhgad Institute of Te",0.67,
EN6183,"AL-AMEEN EDUCATIONAL AND MEDICAL FOUNDATION'S, COLLEGE OF EN",6183,"Al-Ameen Educational and Medical Foundation, College of Engi",0.71,
EN6184,K. J.'S EDUCATIONAL INSTITUTE'S TRINITY COLLEGE OF ENGINEERI,6320,K.J.'s Educational Institute's K.J.College of Engineering & ,0.83,
EN6185,"SINHGAD TECHNICAL EDUCATION SOCEITY, SINHGAD INSTITUTE OF TE",6182,"Sinhgad Technical Education Society, Sinhgad Institute of Te",0.5,YES
EN6187,"SINHGAD ACADEMY OF ENGINEERING, KONDHWA (BK) KONDHWA-SASWAD ",6187,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad ",0.86,
EN6203,"MARATHWADA MITRA MANDAL'S INSTITUTE OF TECHNOLOGY, LOHGAON, ",6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, ",1.0,
EN6206,PUNE DISTRICT EDUCATION ASSOCIATION'S COLLEGE OF ENGINEERING,6206,Pune District Education Association's College of Engineering,0.88,
EN6207,"PATIL INSTITUTE OF TECHNOLOGY, PIMPARI (FORMERLY KNOWN AS DR",6207,Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute ,0.44,YES
EN6214,K. E. SOCIETY'S RAJARAMBAPU INSTITUTE OF TECHNOLOGY,6214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, ",0.71,
EN6217,"SHRI. BALASAHEB MANE PRASARAK MANDALS, ASHOKRAO MANE GROUP O",6217,"Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Ma",0.7,
EN6219,"KSGBS'S BHARAT- RATNA INDIRA GANDHI COLLEGE OF ENGINEERING, ",6219,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, ",1.0,
EN6220,SHRI VITHAL EDUCATION AND RESEARCH INSTITUTE'S COLLEGE OF EN,1116,Shri Shivaji Education Society's College of Engineering and ,0.5,YES
EN6222,DATTAJIRAO KADAM TECHNICAL EDU. SOCIETY'S TEXTILE & ENGINEER,6222,Dattajirao Kadam Technical Education Society's Textile & Eng,0.75,
EN6223,"PRADNYA NIKETAN EDUCATION SOCIETY, PUNE. NAGESH KARAJAGI ORC",6223,Pradnya Niketan Education Society's Nagesh Karajagi Orchid C,0.78,
EN6250,"D.Y. PATIL COLLEGE OF ENGINEERING AND TECHNOLOGY, KASABA-BAV",6250,"D.Y. Patil College of Engineering and Technology, Kolhapur",0.67,
EN6265,"WALCHAND INSTITUTE OF TECHNOLOGY, SOLAPUR",6265,"Walchand Institute of Technology, Solapur",1.0,
EN6267,"KOLHAPUR INSTITUTE OF TECHNOLOGY'S COLLEGE OF ENGINEERING, K",6267,Kolhapur Institute of Technology's College of Engineering(Au,0.67,
EN6268,"TATYASAHEB KORE INSTITUTE OF ENGINEERING AND TECHNOLOGY, WAR",6268,"Tatyasaheb Kore Institute of Engineering and Technology, War",1.0,
EN6269,"PADMABHOOSHAN VASNATRAODADA PATIL INSTITUTE OF TECHNOLOGY, B",6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Eng",0.5,YES
EN6270,KARMAVEER BHAURAO PATIL COLLEGE OF ENGINEERING AND POLYTECHN,6270,Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of ,0.5,YES
EN6271,SCTR'S PUNE INSTITUTE OF COMPUTER TECHNOLOGY,6271,Pune Institute of Computer Technology,0.5,YES
EN6272,DR. D.Y.PATIL PRATISHTHAN'S D.Y.PATIL COLLEGE OF ENGINEERING,6272,Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineeri,1.0,
EN6273,"TRUST'S VISHWAKARMA INSTITUTE OF TECHNOLOGY, 666, UPPER",6325,Alard Charitable Trust's Alard College of Engineering and Ma,0.4,YES
EN6274,PUNE VIDYARTHI GRIHA'S COLLEGE OF ENGINEERING AND TECHNOLOGY,5330,PUNE VIDYARTHI GRIHA’S COLLEGE OF ENGINEERING & SHRIKRUSHNA ,0.57,YES
EN6275,"SHIVNAGAR VIDYA PRASARAK MANDAL'S COLLEGE OF ENGINEERING, MA",6275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Ma",0.86,
EN6276,"MKSSS'S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN, KARVENAGAR",6276,"MKSSS's Cummins College of Engineering for Women, Karvenagar",1.0,
EN6277,DR. J.J. MAGDUM CHARITABLE TRUST'S DR. J.J. MAGDUM COLLEGE O,6277,Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College ,0.86,
EN6278,ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S COLLEGE OF ENGINEE,6278,All India Shri Shivaji Memorial Society's College of Enginee,1.0,
EN6281,"COLLEGE OF ENGINEERING, PUNE (FORMERLY KNOWN AS MODERN EDUCA",6139,Progressive Education Society's Modern College of Engineerin,0.62,
EN6282,ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S INSTITUTE OF INFOR,6282,All India Shri Shivaji Memorial Society's Institute of Infor,0.89,
EN6283,"ANNASAHEB DANGE COLLEGE OF ENGINEERING AND TECHNOLOGY, ASHTA",6283,"Annasaheb Dange College of Engineering and Technology, Ashta",1.0,
EN6284,VIDYA PRATISHTHAN'S KAMALNAYAN BAJAJ INSTITUTE OF ENGINEERIN,6284,Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineerin,0.62,
EN6285,BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING FOR,6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur",0.75,
EN6288,"BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING, KOLHAPUR",6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur",1.0,
EN6293,"BRAHMDEVDADA MANE INSTITUTE OF TECHNOLOGY, SOLAPUR (BMIT)",6265,"Walchand Institute of Technology, Solapur",0.5,YES
EN6298,ZEAL EDUCATION SOCIETY'S DYANGANGA COLLEGE OF ENGINEERING & ,6298,Zeal Education Society's Zeal College of Engineering & Reser,0.86,
EN6303,DR. ASHOK GUJAR TECHNICAL INSTITUTES DR. DAULATRAO AHER COLL,6303,Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher Col,0.75,
EN6304,"ADARSH INSTITUTE OF TECHNOLOGY AND RESEARCH CENTER, VITA",6304,Loknete Hanumantrao Charitable Trust's Adarsh Institute of T,0.75,
EN6305,BHAWANDAS CHHABADA INSTITUTE OF ENGINEERING &,6305,Late Narayandas Bhawandas Chhabada Institute of Engineering ,0.4,YES
EN6307,"PATIL COLLEGE OF ENGINEERING, , UBALE NAGAR, WAGHOLI, TALUKA",6307,"Dhole Patil Education Society, Dhole Patil College of Engine",0.43,YES
EN6308,"SHANTI EDUCATION SOCIETY, A.G. PATIL INSTITUTE OF TECHNOLOGY",6308,"Shanti Education Society, A.G. Patil Institute of Technology",0.78,
EN6310,"MANDAL, NUTAN MAHARASHTRA INSTITUTE OF TECHNOLOGY, VISHNUPUR",6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra I",0.5,YES
EN6311,JSPM'S BHIVARABAI SAWANT INSTITUTE OF TECHNOLOGY & RESEARCH,6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",0.6,
EN6313,"SHETKARI SHIKSHAN PRASARAK MANDAL, JAYWANT COLLEGE OF ENGINE",1114,Sipna Shikshan Prasarak Mandal College of Engineering & Tech,0.6,
EN6315,"PANHALA, KOLHAPUR (FORMERLY KNOWN AS SANJEEVAN ENGINEERING &",6036,"Government College of Engineering, Kolhapur",0.5,YES
EN6317,"CHARITABLE TRUST'S,SHARAD INSTITUTE OF TECHNOLOGY'S COLLEGE ",6325,Alard Charitable Trust's Alard College of Engineering and Ma,0.6,
EN6318,ABHINAV EDUCATION SOCIETY'S COLLEGE OF ENGINEERING AND TECHN,2134,"Peoples Education Society's College of Engineering, Aurangab",0.6,
EN6319,"SHAHAJIRAO PATIL VIKAS PRATISHTHAN, S.B.PATIL COLLEGE OF ENG",6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Eng",0.78,
EN6320,K.J.'S EDUCATIONAL INSTITUTE'S K.J.COLLEGE OF ENGINEERING & ,6320,K.J.'s Educational Institute's K.J.College of Engineering & ,0.83,
EN6321,VIDYA VIKAS PRATISHTHAN INSTITUTE OF ENGINEERING AND TECHNOL,6321,Vidya Vikas Pratishthan Institute of Engineering and Technol,1.0,
EN6322,PRASARAK MANDAL'S SHARADCHANDRA PAWAR COLLEGE OF ENGINEERING,3257,"Vidya Prasarak Mandal's College of Engineering, Thane",0.6,
EN6324,"SHIVAJIRAJE COLLEGE OF ENGINEERING, S. NO. 237, DHANGWADI, T",,,0.33,YES
EN6325,ALARD CHARITABLE TRUST'S ALARD COLLEGE OF ENGINEERING AND MA,6325,Alard Charitable Trust's Alard College of Engineering and Ma,1.0,
EN6326,"SHELVE, PANDHARPUR (FORMERLY KNOWN AS SHRI PANDURANG PRATISH",6220,"SVERI's College of Engineering, Pandharpur",0.5,YES
EN6444,"SHRIRAM INSTITUTE OF ENGINEERING AND TECHNOLOGY (POLY.), PAN",6444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv",1.0,
EN6466,SHREE SANTKRUPA INSTITUTE OF ENGINEERING AND TECHNOLOGY (B. ,6466,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute ",0.4,YES
EN6468,DR. BAPUJI SALUNKHE INSTITUTE OF ENGINEERING AND TECHNOLOGY,6468,"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Inst",1.0,
EN6545,SAMARTH EDUCATION TRUST'S ARVIND GAVALI COLLEGE OF ENGINEERI,6545,Samarth Education Trust's Arvind Gavali College Of Engineeri,0.89,
EN6609,"JAIHIND COLLEGE OF ENGINEERING,KURAN,JUNNAR",6609,"Jaihind College Of Engineering,Kuran",0.67,
EN6622,"ENGINEERING,KURAN,JUNNAR ISB&M SCHOOL OF TECHNOLOGY",6609,"Jaihind College Of Engineering,Kuran",0.5,YES
EN6625,UNIVERSAL COLLEGE OF ENGINEERING & RESEARCH,6625,"Universal College of Engineering & Research, Sasewadi",0.67,
EN6628,DATTAKALA GROUP OF INSTITUTIONS FACUTLY OF ENGINEERING,1265,"Mauli Group of Institutions, College of Engineering and Tech",0.5,YES
EN6632,"NAVSAHYADRI EDUCATION SOCIETY'S GROUP OF INSTITUTIONS, NAIGA",6632,Navsahyadri Education Society's Group of Institutions,0.6,
EN6634,PUNE TRINITY ACADEMY OF ENGINEERING,6146,"MIT Academy of Engineering,Alandi, Pune",0.5,YES
EN6635,"RAJURI'S SAMARTH COLLEGE OF ENGINEERING AND MANAGEMENT, BELH",6635,Samarth College of Engineering and Management,1.0,
EN6640,"N. B. NAVALE SINHGAD COLLEGE OF ENGINEERING, KEGAON, SOLAPUR",6640,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",1.0,
EN6643,"S K N SINHGAD COLLEGE OF ENGINEERING, KORTI, PANDHARPUR",6643,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur ",0.67,
EN6644,SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKARE GROUP OF INSTITU,6644,Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Instit,0.9,
EN6649,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,6649,TSSM's Bhivarabai Sawant College of Engineering and Research,0.71,
EN6732,"ENGINEERING, LOHEGAON, PUNE (FORMERLY KNOWN AS DR. D. Y. PAT",6207,Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute ,0.5,YES
EN6754,INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY,6754,"International Institute of Information Technology (I²IT), Pu",0.4,YES
EN6755,RAJARSHI SHAHU SCHOOL OF . & RESEARCH,1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shah",0.5,YES
EN6756,FABTECH TECHNICAL CAMPUS-COLLEGE OF ENGINEERING & RESEARCH,6756,Fabtech Technical Campus College of Engineering and Research,0.8,
EN6757,"YSPM'S YASHODA TECHNICAL CAMPUS, SATARA",6757,"Yashoda Technical Campus, Wadhe, Satara.",0.67,
EN6758,SATARA SAHYADRI VALLEY COLLEGE OF & TECH,6758,"Sahyadri Valley College of Engineering & Technology, Rajuri,",0.5,YES
EN6759,SHREE RAMCHANDRA EDUCATION SOCIETY'S SHREE RAMCHANDRA COLLEG,2134,"Peoples Education Society's College of Engineering, Aurangab",0.6,
EN6762,NANASAHEB MAHADIK COLLEGE OF ENGINEERING,6762,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",0.5,YES
EN6766,ENGINEERING P.E.S.COLLEGE OF ENGINEERING PHALTAN,3206,"S.S.P.M.'s College of Engineering, Kankavli",0.5,YES
EN6767,SUMAN RAMESH TULSIANI TECHNICAL CAMPUS - FACULTY OF ENGINEER,6767,Suman Ramesh Tulsiani Technical Campus: Faculty of Engineeri,0.75,
EN6768,FACULTY OF ENGINEERING P K TECHNICAL CAMPUS,6768,"P.K. Technical Campus, Pune.",0.8,
EN6769,RMD SINHGAD SCHOOL OF ENGINEERING,6185,Sinhgad Institute of Technology,1.0,
EN6770,SKN SINHGAD INSTITUTE OF TECHNOLGY AND SCIENCE,6770,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),P",0.4,YES
EN6772,"NBN SINHGAD SCHOOL OF ENGINEERING, AMBEGAON (BK), PUNE 41",6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",0.43,YES
EN6780,"AMBEGAON (BK), PUNE 41 D.Y.PATIL TECHNICAL CAMPUS, TALSANDE",6991,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",0.6,
EN6781,BHAGWANT INSTITUTE OF TECHNOLOGY,6781,"Bhagwant Institute of Technology, Barshi",0.5,YES
EN6782,SAHAKAR MAHARSHI SHANKARRAO MOHITE- PATIL INSTITUTE OF TECHN,6782,Sahakar Maharshee Shankarrao Mohite Patil Institute of Techn,0.57,YES
EN6794,"ANANTRAO PAWAR COLLEGE OF ENGINEERING & RESEARCH, PUNE",6794,"Anantrao Pawar College of Engineering & Research, Pune",1.0,
EN6795,"OF ENGINEERING AND TECHNOLOGY, PUNE (FORMERLY KNOWN AS SHRI.",6278,All India Shri Shivaji Memorial Society's College of Enginee,1.0,
EN6796,"BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING,LAVALE, PUNE",6796,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",1.0,
EN6797,"DNYANSHREE INSTITUTE ENGINEERING AND TECHNOLOGY, SATARA",6797,"Dnyanshree Institute Engineering and Technology, Satara",1.0,
EN6799,"VISHVESHWARYA TECHNICAL CAMPUS, FACULTY OF DIPLOMA ENGINEERI",6799,"Shivganga Charitable Trust, Sangli Vishveshwarya Technical C",0.45,YES
EN6803,SANT GAJANAN MAHARAJ COLLEGE OF ENGINEERING,6803,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",0.75,
EN6808,"ENGINEERING KEYSTONE SCHOOL OF ENGINEERING, PUNE",6808,"Keystone School of Engineering, Pune",1.0,
EN6811,SANJAY GHODAWAT INSTITUTE,6811,Sanjay Ghodawat Institute,1.0,
EN6815,"VIDYA PRASARINI SABHA'S COLLEGE OF ENGINEERING & TECHNOLOGY,",6815,"Vidya Prasarini Sabha's College of Engineering & Technology,",1.0,
EN6822,PIMPRI CHINCHWAD EDUCATION TRUST'S PIMPRI CHINCHWAD COLLEGE ,6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College o",0.8,
EN6834,"DR.D.Y.PATIL COLLEGE OF ENGINEERING & INNOVATION,TALEGAON",6834,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",1.0,
EN6839,"DR. D Y PATIL PRATISHTHAN'S COLLEGE OF ENGINEERING, SALOKHEN",6839,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",0.88,
EN6878,"DR. A. D. SHINDE COLLEGE OF ENGINEERING, TAL.GADHINGLAJ, KOL",6878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kol",1.0,
EN6901,"MAEER'S MIT COLLEGE OF RAILWAY ENGINEERING AND RESEARCH, JAM",6901,"MAEER's MIT College of Railway Engineering and Research, Jam",0.86,
EN6938,SHREE SIDDHESHWAR WOMEN'S COLLEGE OF ENGINEERING SOLAPUR,6938,Shree Siddheshwar Women's College Of Engineering Solapur.,1.0,
EN6991,ENGINEERING SOLAPUR. DR D Y PATIL TECHNICAL CAMPUS,6991,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",0.67,
HM2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED,2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,1.0,
MB5152,"G. H. RAISONI INSTITUTE OF BUSINESS MANAGEMENT, JALGAON",5152,"G H Raisoni College of Engineering and Management, Jalgaon",0.8,
MC5151,"MANAGEMENT, JALGAON MET'S INSTITUTE OF ENGINEERING",5171,"Godavari Foundation's Godavari College Of Engineering, Jalga",0.5,YES
