Year,CAP_Round,College_Code,College_Name,Location,College_Type,Branch_Code,Branch_Name,Category,Seat_Type,Gender,Rank,Percentile
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GOPENS,State Level,Any,31618,90.668828
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GSCS,State Level,Any,53254,84.0359888
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GNT1S,State Level,Any,49466,85.1919561
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GSEBCS,State Level,Any,73539,77.161886
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LSCS,State Level,Ladies,41066,87.9159305
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LSEBCS,State Level,Ladies,91727,70.6189283
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GOPENS,State Level,Any,10017,97.1220006
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GOBCS,State Level,Any,11290,96.7783105
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,GOPENS,State Level,Any,13634,96.0780932
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,GVJS,State Level,Any,26351,92.3341523
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,GNT2S,State Level,Any,23636,93.1055879
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,GOBCS,State Level,Any,14798,95.7536628
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,LOPENS,State Level,Ladies,12774,96.3424067
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,LOBCS,State Level,Ladies,15087,95.6472486
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,TFWS,Special,Any,14372,95.868115
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,EWS,Special,Any,18334,94.7364547
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,GOPENS,State Level,Any,27004,92.0769231
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,GSCS,State Level,Any,29152,91.4450061
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,GSEBCS,State Level,Any,50107,85.0571556
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,LOPENS,State Level,Ladies,24597,92.8376317
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,LOBCS,State Level,Ladies,26902,92.1231015
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,DEFOPENS,State Level,Any,64751,80.3531469
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,DEFROBCS,State Level,Any,174647,26.7336064
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,ORPHAN,Special,Any,71160,78.272232
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,ORPHAN,Special,Any,27160,92.0737359
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100237210,Electronics and Telecommunication Engg,GOPENS,State Level,Any,14271,95.918508
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100237210,Electronics and Telecommunication Engg,GSTS,State Level,Any,65065,80.0
