Year,Branch_Name,CAP_Round,College_Code,College_Name,Location,College_Type,Category,Seat_Type,Gender,Rank,Percentile
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,2194,96.2998021
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCH,Home University,Any,6565,90.8498719
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSTH,Home University,Any,11583,85.3269947
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCH,Home University,Any,2329,96.0769198
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENH,Home University,Ladies,1820,96.7747522
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENO,Other than Home University,Any,690,98.5181378
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCO,Other than Home University,Any,3703,94.3428547
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCO,Other than Home University,Any,875,98.2097734
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENO,Other than Home University,Ladies,582,98.7166324
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,EWS,Special,Any,2090,96.3611742
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,1489,97.2315653
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCH,Home University,Any,2023,96.4964066
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GVJH,Home University,Any,1547,97.1470626
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT2H,Home University,Any,2149,96.3331746
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT3H,Home University,Any,1915,96.6581754
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCH,Home University,Any,1739,96.8735278
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENH,Home University,Ladies,1236,97.6189457
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCH,Home University,Ladies,1332,97.5026901
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,PWDOPENH,Home University,Any,17522,78.7712869
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,PWDROBCH,Home University,Any,20841,74.7557215
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENO,Other than Home University,Any,1012,97.9909463
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCO,Other than Home University,Any,1916,96.6581754
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GVJO,Other than Home University,Any,2898,95.3060088
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT2O,Other than Home University,Any,1682,96.9303086
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCO,Other than Home University,Any,1100,97.8288964
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENO,Other than Home University,Ladies,745,98.4350075
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,DEFOPENS,State Level,Any,3017,95.1293028
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,TFWS,Special,Any,759,98.3837148
2023-24,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,EWS,Special,Any,1182,97.6940114
2023-24,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOPENH,Home University,Any,10092,86.9692469
2023-24,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GSCH,Home University,Any,18061,77.9085813
2023-24,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GVJH,Home University,Any,12689,83.8936234
2023-24,B Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOBCH,Home University,Any,13591,82.9868241
