college_code,college_name,branch_name,category,cap_round,year,intake,filled_seats
01003,"Government College of Pharmacy, Amravati",Pharmacy,OPEN,CAP Round I,2024-25,6,8
01003,"Government College of Pharmacy, Amravati",Pharmacy,SC,CAP Round I,2024-25,6,2
01003,"Government College of Pharmacy, Amravati",Pharmacy,ST,CAP Round I,2024-25,6,1
01003,"Government College of Pharmacy, Amravati",Pharmacy,NTB,CAP Round I,2024-25,6,1
01003,"Government College of Pharmacy, Amravati",Pharmacy,NTC,CAP Round I,2024-25,6,1
01003,"Government College of Pharmacy, Amravati",Pharmacy,OBC,CAP Round I,2024-25,6,4
01003,"Government College of Pharmacy, Amravati",Pharmacy,SEBC,CAP Round I,2024-25,6,1
01003,"Government College of Pharmacy, Amravati",Pharmacy,PWD,CAP Round I,2024-25,6,1
01003,"Government College of Pharmacy, Amravati",Pharmacy,DEF,CAP Round I,2024-25,6,1
01003,"Government College of Pharmacy, Amravati",Pharmacy,EWS,CAP Round I,2024-25,6,2
01115,"J.S.P Mandals Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,OPEN,CAP Round I,2024-25,6,8
01115,"J.S.P Mandals Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,SC,CAP Round I,2024-25,6,3
01115,"J.S.P Mandals Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,ST,CAP Round I,2024-25,6,1
01115,"J.S.P Mandals Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,VJ/DT,CAP Round I,2024-25,6,1
01115,"J.S.P Mandals Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,NTD,CAP Round I,2024-25,6,1
01115,"J.S.P Mandals Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,OBC,CAP Round I,2024-25,6,3
01115,"J.S.P Mandals Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,SEBC,CAP Round I,2024-25,6,2
01115,"J.S.P Mandals Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,PWD,CAP Round I,2024-25,6,1
01115,"J.S.P Mandals Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,DEF,CAP Round I,2024-25,6,1
01115,"J.S.P Mandals Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,EWS,CAP Round I,2024-25,6,2
01131,"Vidya Bharati College of Pharmacy, Amravati",Pharmacy,OPEN,CAP Round I,2024-25,6,5
01131,"Vidya Bharati College of Pharmacy, Amravati",Pharmacy,SC,CAP Round I,2024-25,6,1
01131,"Vidya Bharati College of Pharmacy, Amravati",Pharmacy,ST,CAP Round I,2024-25,6,1
01131,"Vidya Bharati College of Pharmacy, Amravati",Pharmacy,NTB,CAP Round I,2024-25,6,1
01131,"Vidya Bharati College of Pharmacy, Amravati",Pharmacy,OBC,CAP Round I,2024-25,6,2
01131,"Vidya Bharati College of Pharmacy, Amravati",Pharmacy,SEBC,CAP Round I,2024-25,6,1
01131,"Vidya Bharati College of Pharmacy, Amravati",Pharmacy,PWD,CAP Round I,2024-25,6,1
01131,"Vidya Bharati College of Pharmacy, Amravati",Pharmacy,DEF,CAP Round I,2024-25,6,1
01131,"Vidya Bharati College of Pharmacy, Amravati",Pharmacy,EWS,CAP Round I,2024-25,6,3
01133,"Anuradha College Of Pharmacy, Chikhli",Pharmacy,OPEN,CAP Round I,2024-25,10,6
01133,"Anuradha College Of Pharmacy, Chikhli",Pharmacy,SC,CAP Round I,2024-25,10,2
01133,"Anuradha College Of Pharmacy, Chikhli",Pharmacy,ST,CAP Round I,2024-25,10,1
01133,"Anuradha College Of Pharmacy, Chikhli",Pharmacy,NTC,CAP Round I,2024-25,10,1
01133,"Anuradha College Of Pharmacy, Chikhli",Pharmacy,OBC,CAP Round I,2024-25,10,2
01133,"Anuradha College Of Pharmacy, Chikhli",Pharmacy,SEBC,CAP Round I,2024-25,10,1
01133,"Anuradha College Of Pharmacy, Chikhli",Pharmacy,PWD,CAP Round I,2024-25,10,1
01133,"Anuradha College Of Pharmacy, Chikhli",Pharmacy,DEF,CAP Round I,2024-25,10,1
01133,"Anuradha College Of Pharmacy, Chikhli",Pharmacy,EWS,CAP Round I,2024-25,10,3
01134,"Yavatmal Zilla Vikas Samitees Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Pharmacy,OPEN,CAP Round I,2024-25,10,8
01134,"Yavatmal Zilla Vikas Samitees Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Pharmacy,SC,CAP Round I,2024-25,10,1
01134,"Yavatmal Zilla Vikas Samitees Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Pharmacy,ST,CAP Round I,2024-25,10,1
01134,"Yavatmal Zilla Vikas Samitees Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Pharmacy,NTB,CAP Round I,2024-25,10,1
01134,"Yavatmal Zilla Vikas Samitees Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Pharmacy,NTD,CAP Round I,2024-25,10,1
01134,"Yavatmal Zilla Vikas Samitees Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Pharmacy,OBC,CAP Round I,2024-25,10,3
01134,"Yavatmal Zilla Vikas Samitees Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Pharmacy,SEBC,CAP Round I,2024-25,10,1
01134,"Yavatmal Zilla Vikas Samitees Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Pharmacy,PWD,CAP Round I,2024-25,10,1
01134,"Yavatmal Zilla Vikas Samitees Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Pharmacy,DEF,CAP Round I,2024-25,10,1
01134,"Yavatmal Zilla Vikas Samitees Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Pharmacy,EWS,CAP Round I,2024-25,10,1
01135,"Shri Gurudatta Shikshan Prasarak Sansthas Institute of Pharmacy, Kaulkhad, Akola",Pharmacy,OPEN,CAP Round I,2024-25,6,7
01135,"Shri Gurudatta Shikshan Prasarak Sansthas Institute of Pharmacy, Kaulkhad, Akola",Pharmacy,SC,CAP Round I,2024-25,6,2
01135,"Shri Gurudatta Shikshan Prasarak Sansthas Institute of Pharmacy, Kaulkhad, Akola",Pharmacy,ST,CAP Round I,2024-25,6,1
01135,"Shri Gurudatta Shikshan Prasarak Sansthas Institute of Pharmacy, Kaulkhad, Akola",Pharmacy,NTC,CAP Round I,2024-25,6,1
01135,"Shri Gurudatta Shikshan Prasarak Sansthas Institute of Pharmacy, Kaulkhad, Akola",Pharmacy,OBC,CAP Round I,2024-25,6,2
01135,"Shri Gurudatta Shikshan Prasarak Sansthas Institute of Pharmacy, Kaulkhad, Akola",Pharmacy,SEBC,CAP Round I,2024-25,6,2
01135,"Shri Gurudatta Shikshan Prasarak Sansthas Institute of Pharmacy, Kaulkhad, Akola",Pharmacy,PWD,CAP Round I,2024-25,6,1
01135,"Shri Gurudatta Shikshan Prasarak Sansthas Institute of Pharmacy, Kaulkhad, Akola",Pharmacy,DEF,CAP Round I,2024-25,6,1
01135,"Shri Gurudatta Shikshan Prasarak Sansthas Institute of Pharmacy, Kaulkhad, Akola",Pharmacy,EWS,CAP Round I,2024-25,6,2
01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Pharmacy,OPEN,CAP Round I,2024-25,10,14
01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Pharmacy,SC,CAP Round I,2024-25,10,5
01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Pharmacy,ST,CAP Round I,2024-25,10,2
01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Pharmacy,VJ/DT,CAP Round I,2024-25,10,2
01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Pharmacy,NTB,CAP Round I,2024-25,10,1
01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Pharmacy,NTC,CAP Round I,2024-25,10,1
01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Pharmacy,NTD,CAP Round I,2024-25,10,1
01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Pharmacy,OBC,CAP Round I,2024-25,10,7
01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Pharmacy,SEBC,CAP Round I,2024-25,10,4
01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Pharmacy,PWD,CAP Round I,2024-25,10,3
01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Pharmacy,DEF,CAP Round I,2024-25,10,3
01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Pharmacy,EWS,CAP Round I,2024-25,10,3
01157,"Shri Chhatrapati Shahumaharaj Shikshan Santhas Institute Of Pharmacy, Maregaon",Pharmacy,OPEN,CAP Round I,2024-25,6,11
01157,"Shri Chhatrapati Shahumaharaj Shikshan Santhas Institute Of Pharmacy, Maregaon",Pharmacy,SC,CAP Round I,2024-25,6,4
01157,"Shri Chhatrapati Shahumaharaj Shikshan Santhas Institute Of Pharmacy, Maregaon",Pharmacy,ST,CAP Round I,2024-25,6,2
01157,"Shri Chhatrapati Shahumaharaj Shikshan Santhas Institute Of Pharmacy, Maregaon",Pharmacy,VJ/DT,CAP Round I,2024-25,6,1
01157,"Shri Chhatrapati Shahumaharaj Shikshan Santhas Institute Of Pharmacy, Maregaon",Pharmacy,NTC,CAP Round I,2024-25,6,1
01157,"Shri Chhatrapati Shahumaharaj Shikshan Santhas Institute Of Pharmacy, Maregaon",Pharmacy,NTD,CAP Round I,2024-25,6,1
01157,"Shri Chhatrapati Shahumaharaj Shikshan Santhas Institute Of Pharmacy, Maregaon",Pharmacy,OBC,CAP Round I,2024-25,6,6
01157,"Shri Chhatrapati Shahumaharaj Shikshan Santhas Institute Of Pharmacy, Maregaon",Pharmacy,SEBC,CAP Round I,2024-25,6,2
01157,"Shri Chhatrapati Shahumaharaj Shikshan Santhas Institute Of Pharmacy, Maregaon",Pharmacy,PWD,CAP Round I,2024-25,6,1
01157,"Shri Chhatrapati Shahumaharaj Shikshan Santhas Institute Of Pharmacy, Maregaon",Pharmacy,DEF,CAP Round I,2024-25,6,1
01157,"Shri Chhatrapati Shahumaharaj Shikshan Santhas Institute Of Pharmacy, Maregaon",Pharmacy,EWS,CAP Round I,2024-25,6,7
01158,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas Anuradha College of Pharmacy, Chikhali",Pharmacy,OPEN,CAP Round I,2024-25,10,10
01158,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas Anuradha College of Pharmacy, Chikhali",Pharmacy,SC,CAP Round I,2024-25,10,2
01158,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas Anuradha College of Pharmacy, Chikhali",Pharmacy,ST,CAP Round I,2024-25,10,2
01158,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas Anuradha College of Pharmacy, Chikhali",Pharmacy,VJ/DT,CAP Round I,2024-25,10,1
01158,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas Anuradha College of Pharmacy, Chikhali",Pharmacy,NTC,CAP Round I,2024-25,10,1
01158,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas Anuradha College of Pharmacy, Chikhali",Pharmacy,OBC,CAP Round I,2024-25,10,4
01158,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas Anuradha College of Pharmacy, Chikhali",Pharmacy,SEBC,CAP Round I,2024-25,10,2
01158,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas Anuradha College of Pharmacy, Chikhali",Pharmacy,PWD,CAP Round I,2024-25,10,1
01158,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas Anuradha College of Pharmacy, Chikhali",Pharmacy,DEF,CAP Round I,2024-25,10,1
01158,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas Anuradha College of Pharmacy, Chikhali",Pharmacy,EWS,CAP Round I,2024-25,10,1
01159,"Navsanjivan Shikshan Mandals College of Pharmacy, Dharwa",Pharmacy,OPEN,CAP Round I,2024-25,6,10
01159,"Navsanjivan Shikshan Mandals College of Pharmacy, Dharwa",Pharmacy,SC,CAP Round I,2024-25,6,2
01159,"Navsanjivan Shikshan Mandals College of Pharmacy, Dharwa",Pharmacy,ST,CAP Round I,2024-25,6,2
01159,"Navsanjivan Shikshan Mandals College of Pharmacy, Dharwa",Pharmacy,NTB,CAP Round I,2024-25,6,1
01159,"Navsanjivan Shikshan Mandals College of Pharmacy, Dharwa",Pharmacy,NTD,CAP Round I,2024-25,6,1
01159,"Navsanjivan Shikshan Mandals College of Pharmacy, Dharwa",Pharmacy,OBC,CAP Round I,2024-25,6,3
01159,"Navsanjivan Shikshan Mandals College of Pharmacy, Dharwa",Pharmacy,SEBC,CAP Round I,2024-25,6,3
01159,"Navsanjivan Shikshan Mandals College of Pharmacy, Dharwa",Pharmacy,PWD,CAP Round I,2024-25,6,1
01159,"Navsanjivan Shikshan Mandals College of Pharmacy, Dharwa",Pharmacy,DEF,CAP Round I,2024-25,6,1
01159,"Navsanjivan Shikshan Mandals College of Pharmacy, Dharwa",Pharmacy,EWS,CAP Round I,2024-25,6,3
01160,"Shri.Durgamata Bahuudeshiya Krida and Shaikshanik Sanstha,Ishwar Deshmukh Institute Of Pharmacy, Digras",Pharmacy,OPEN,CAP Round I,2024-25,6,9
01160,"Shri.Durgamata Bahuudeshiya Krida and Shaikshanik Sanstha,Ishwar Deshmukh Institute Of Pharmacy, Digras",Pharmacy,SC,CAP Round I,2024-25,6,3
01160,"Shri.Durgamata Bahuudeshiya Krida and Shaikshanik Sanstha,Ishwar Deshmukh Institute Of Pharmacy, Digras",Pharmacy,ST,CAP Round I,2024-25,6,1
01160,"Shri.Durgamata Bahuudeshiya Krida and Shaikshanik Sanstha,Ishwar Deshmukh Institute Of Pharmacy, Digras",Pharmacy,VJ/DT,CAP Round I,2024-25,6,1
01160,"Shri.Durgamata Bahuudeshiya Krida and Shaikshanik Sanstha,Ishwar Deshmukh Institute Of Pharmacy, Digras",Pharmacy,NTC,CAP Round I,2024-25,6,1
01160,"Shri.Durgamata Bahuudeshiya Krida and Shaikshanik Sanstha,Ishwar Deshmukh Institute Of Pharmacy, Digras",Pharmacy,OBC,CAP Round I,2024-25,6,3
