Year,Branch_Name,CAP_Round,College_Code,College_Name,Location,College_Type,Category,Seat_Type,Gender,Rank,Percentile
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,GOPENS,State Level,Any,1001,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,LOPENS,State Level,Ladies,690,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,GSCS,State Level,Any,1741,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,LSCS,State Level,Ladies,1214,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,GSTS,State Level,Any,7911,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,LSTS,State Level,Ladies,10705,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,LVJS,State Level,Ladies,802,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,GNT2S,State Level,Any,1765,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,LNT2S,State Level,Ladies,1414,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,GOBCS,State Level,Any,1008,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,LOBCS,State Level,Ladies,811,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,PWDOPENS,State Level,Any,27637,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,DEFOPENS,State Level,Any,21789,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,DEFROBCS,State Level,Any,23247,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,EWS,Special,Any,898,
2022-23,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,TFWS,Special,Any,27,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GOPENS,State Level,Any,2056,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,LOPENS,State Level,Ladies,1906,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GSCS,State Level,Any,5014,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,LSCS,State Level,Ladies,3933,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GSTS,State Level,Any,17745,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GVJS,State Level,Any,3949,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GNT1S,State Level,Any,2659,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GNT2S,State Level,Any,5871,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GOBCS,State Level,Any,2482,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,LOBCS,State Level,Ladies,2328,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,EWS,Special,Any,1687,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,TFWS,Special,Any,1623,
2022-23,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,ORPHAN,Special,Any,2514,
2022-23,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOPENS,State Level,Any,8598,
2022-23,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LOPENS,State Level,Ladies,7047,
2022-23,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GSCS,State Level,Any,12038,
2022-23,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LSCS,State Level,Ladies,14789,
2022-23,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GSTS,State Level,Any,12368,
2022-23,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GNT1S,State Level,Any,16255,
2022-23,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LNT2S,State Level,Ladies,11061,
2022-23,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOBCS,State Level,Any,16364,
2022-23,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LOBCS,State Level,Ladies,14225,
2022-23,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,EWS,Special,Any,3957,
2022-23,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,TFWS,Special,Any,4100,
2022-23,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GOPENS,State Level,Any,4397,
2022-23,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,LOPENS,State Level,Ladies,2581,
2022-23,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GSCS,State Level,Any,9167,
2022-23,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,LSCS,State Level,Ladies,7140,
2022-23,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GSTS,State Level,Any,13283,
2022-23,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GNT1S,State Level,Any,13473,
2022-23,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GNT2S,State Level,Any,7437,
2022-23,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GOBCS,State Level,Any,6458,
2022-23,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,LOBCS,State Level,Ladies,3493,
2022-23,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,EWS,Special,Any,11731,
2022-23,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,TFWS,Special,Any,1346,
2022-23,D Pharmacy,CAP Round II,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,GOPENS,State Level,Any,5646,
2022-23,D Pharmacy,CAP Round II,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,LOPENS,State Level,Ladies,2632,
2022-23,D Pharmacy,CAP Round II,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,GNT2S,State Level,Any,7339,
2022-23,D Pharmacy,CAP Round II,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,GOBCS,State Level,Any,6616,
2022-23,D Pharmacy,CAP Round II,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,LOBCS,State Level,Ladies,3663,
2022-23,D Pharmacy,CAP Round II,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,PWDOPENS,State Level,Any,19162,
2022-23,D Pharmacy,CAP Round II,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,ORPHAN,Special,Any,12520,
2022-23,D Pharmacy,CAP Round II,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,GSTS,State Level,Any,6611,
2022-23,D Pharmacy,CAP Round II,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,ORPHAN,Special,Any,6624,
2022-23,D Pharmacy,CAP Round II,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,GOPENS,State Level,Any,15557,
2022-23,D Pharmacy,CAP Round II,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,LOPENS,State Level,Ladies,14579,
2022-23,D Pharmacy,CAP Round II,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,GSCS,State Level,Any,26467,
2022-23,D Pharmacy,CAP Round II,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,LSCS,State Level,Ladies,19678,
2022-23,D Pharmacy,CAP Round II,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,GSTS,State Level,Any,25110,
2022-23,D Pharmacy,CAP Round II,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,GVJS,State Level,Any,15788,
2022-23,D Pharmacy,CAP Round II,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,LVJS,State Level,Ladies,13427,
