college_code,college_name,avg_package_lpa,highest_package_lpa,placement_rate_pct
EN6182,"SINHGAD TECHNICAL EDUCATION SOCIETY, SINHGAD INSTITUTE OF TECHNOLOGY AND",5.0,20.0,65.0
EN6183,"AL-AMEEN EDUCATIONAL AND MEDICAL FOUNDATION'S, COLLEGE OF ENGINEERING &",N/A,N/A,N/A
EN6184,K. J.'S EDUCATIONAL INSTITUTE'S TRINITY COLLEGE OF ENGINEERING AND RESEARCH,N/A,N/A,N/A
EN6185,"SINHGAD TECHNICAL EDUCATION SOCEITY, SINHGAD INSTITUTE OF TECHNOLOGY",5.0,20.0,65.0
EN6187,"SINHGAD ACADEMY OF ENGINEERING, KONDHWA (BK) KONDHWA-SASWAD ROAD",5.0,20.0,65.0
EN6203,"MARATHWADA MITRA MANDAL'S INSTITUTE OF TECHNOLOGY, LOHGAON, PUNE",N/A,N/A,N/A
EN6206,"PUNE DISTRICT EDUCATION ASSOCIATION'S COLLEGE OF ENGINEERING ,MANJARI (BK.)",N/A,N/A,N/A
EN6207,"PATIL INSTITUTE OF TECHNOLOGY, PIMPARI (FORMERLY KNOWN AS DR. D. Y. PATIL VIDYA",5.5,20.0,65.0
EN6214,K. E. SOCIETY'S RAJARAMBAPU INSTITUTE OF TECHNOLOGY,5.0,16.0,62.0
EN6217,"SHRI. BALASAHEB MANE PRASARAK MANDALS, ASHOKRAO MANE GROUP OF INSTITUTIONS",N/A,N/A,N/A
EN6219,"KSGBS'S BHARAT- RATNA INDIRA GANDHI COLLEGE OF ENGINEERING, KEGAON, SOLAPUR",N/A,N/A,N/A
EN6220,SHRI VITHAL EDUCATION AND RESEARCH INSTITUTE'S COLLEGE OF ENGINEERING,N/A,N/A,N/A
EN6222,DATTAJIRAO KADAM TECHNICAL EDU. SOCIETY'S TEXTILE & ENGINEERING INSTITUTE,N/A,N/A,N/A
EN6223,"PRADNYA NIKETAN EDUCATION SOCIETY, PUNE. NAGESH KARAJAGI ORCHID COLLEGE OF",N/A,N/A,N/A
EN6250,"D.Y. PATIL COLLEGE OF ENGINEERING AND TECHNOLOGY, KASABA-BAVADA, KOLHAPUR",N/A,N/A,N/A
EN6265,"WALCHAND INSTITUTE OF TECHNOLOGY, SOLAPUR",4.69,12.4,60.0
EN6267,"KOLHAPUR INSTITUTE OF TECHNOLOGY'S COLLEGE OF ENGINEERING, KOLHAPUR",5.5,18.0,65.0
EN6268,"TATYASAHEB KORE INSTITUTE OF ENGINEERING AND TECHNOLOGY, WARANANAGAR",4.5,14.0,58.0
EN6269,"PADMABHOOSHAN VASNATRAODADA PATIL INSTITUTE OF TECHNOLOGY, BUDHGAON",N/A,N/A,N/A
EN6270,"KARMAVEER BHAURAO PATIL COLLEGE OF ENGINEERING AND POLYTECHNIC, SATARA",4.5,14.0,58.0
EN6271,SCTR'S PUNE INSTITUTE OF COMPUTER TECHNOLOGY,10.11,33.57,92.89
EN6272,"DR. D.Y.PATIL PRATISHTHAN'S D.Y.PATIL COLLEGE OF ENGINEERING AKURDI, PUNE",5.5,20.0,65.0
EN6273,"TRUST'S VISHWAKARMA INSTITUTE OF TECHNOLOGY, 666, UPPER",8.55,45.0,86.2
EN6274,"PUNE VIDYARTHI GRIHA'S COLLEGE OF ENGINEERING AND TECHNOLOGY, PUNE",6.0,22.0,68.0
EN6275,"SHIVNAGAR VIDYA PRASARAK MANDAL'S COLLEGE OF ENGINEERING, MALEGAON",N/A,N/A,N/A
EN6276,"MKSSS'S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN, KARVENAGAR,PUNE",12.71,50.0,86.0
EN6277,DR. J.J. MAGDUM CHARITABLE TRUST'S DR. J.J. MAGDUM COLLEGE OF ENGINEERING,N/A,N/A,N/A
EN6278,"ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S COLLEGE OF ENGINEERING, PUNE",6.0,22.0,68.0
EN6281,"COLLEGE OF ENGINEERING, PUNE (FORMERLY KNOWN AS MODERN EDUCATION SOCIETY'S",9.32,52.57,78.1
EN6282,ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S INSTITUTE OF INFORMATION,6.0,22.0,68.0
EN6283,"ANNASAHEB DANGE COLLEGE OF ENGINEERING AND TECHNOLOGY, ASHTA, SANGLI",N/A,N/A,N/A
EN6284,VIDYA PRATISHTHAN'S KAMALNAYAN BAJAJ INSTITUTE OF ENGINEERING & TECHNOLOGY,N/A,N/A,N/A
EN6285,BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING FOR,6.0,22.0,70.0
EN6288,"BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING, KOLHAPUR",5.5,18.0,65.0
EN6293,"BRAHMDEVDADA MANE INSTITUTE OF TECHNOLOGY, SOLAPUR (BMIT)",N/A,N/A,N/A
EN6298,"ZEAL EDUCATION SOCIETY'S DYANGANGA COLLEGE OF ENGINEERING & RESERCH, NARHE",N/A,N/A,N/A
EN6303,DR. ASHOK GUJAR TECHNICAL INSTITUTES DR. DAULATRAO AHER COLLEGE OF ENGINEERING,N/A,N/A,N/A
EN6304,"ADARSH INSTITUTE OF TECHNOLOGY AND RESEARCH CENTER, VITA",N/A,N/A,N/A
EN6305,BHAWANDAS CHHABADA INSTITUTE OF ENGINEERING &,N/A,N/A,N/A
EN6307,"PATIL COLLEGE OF ENGINEERING, , UBALE NAGAR, WAGHOLI, TALUKA - HAVELI, PUNE",N/A,N/A,N/A
EN6308,"SHANTI EDUCATION SOCIETY, A.G. PATIL INSTITUTE OF TECHNOLOGY, SOREGAON",N/A,N/A,N/A
EN6310,"MANDAL, NUTAN MAHARASHTRA INSTITUTE OF TECHNOLOGY, VISHNUPURI, TALEGAON",N/A,N/A,N/A
EN6311,JSPM'S BHIVARABAI SAWANT INSTITUTE OF TECHNOLOGY & RESEARCH,N/A,N/A,N/A
EN6313,"SHETKARI SHIKSHAN PRASARAK MANDAL, JAYWANT COLLEGE OF ENGINEERING &",N/A,N/A,N/A
EN6315,"PANHALA, KOLHAPUR (FORMERLY KNOWN AS SANJEEVAN ENGINEERING & TECHNOLOGY",N/A,N/A,N/A
EN6317,"CHARITABLE TRUST'S,SHARAD INSTITUTE OF TECHNOLOGY'S COLLEGE OF ENGINEERING",N/A,N/A,N/A
EN6318,ABHINAV EDUCATION SOCIETY'S COLLEGE OF ENGINEERING AND TECHNOLOGY (DEGREE),N/A,N/A,N/A
EN6319,"SHAHAJIRAO PATIL VIKAS PRATISHTHAN, S.B.PATIL COLLEGE OF ENGINEERING, VANGALI",N/A,N/A,N/A
EN6320,K.J.'S EDUCATIONAL INSTITUTE'S K.J.COLLEGE OF ENGINEERING & MANAGEMENT RESEARCH,N/A,N/A,N/A
EN6321,"VIDYA VIKAS PRATISHTHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY, SOLAPUR",N/A,N/A,N/A
EN6322,PRASARAK MANDAL'S SHARADCHANDRA PAWAR COLLEGE OF ENGINEERING,N/A,N/A,N/A
EN6324,"SHIVAJIRAJE COLLEGE OF ENGINEERING, S. NO. 237, DHANGWADI, TAL. BHOR, DIST. PUNE",N/A,N/A,N/A
EN6325,"ALARD CHARITABLE TRUST'S ALARD COLLEGE OF ENGINEERING AND MANAGEMENT, PUNE",N/A,N/A,N/A
EN6326,"SHELVE, PANDHARPUR (FORMERLY KNOWN AS SHRI PANDURANG PRATISHTAN, KARMAYOGI",N/A,N/A,N/A
EN6444,"SHRIRAM INSTITUTE OF ENGINEERING AND TECHNOLOGY (POLY.), PANIV",N/A,N/A,N/A
EN6466,SHREE SANTKRUPA INSTITUTE OF ENGINEERING AND TECHNOLOGY (B. TECH.),N/A,N/A,N/A
EN6468,DR. BAPUJI SALUNKHE INSTITUTE OF ENGINEERING AND TECHNOLOGY,N/A,N/A,N/A
EN6545,"SAMARTH EDUCATION TRUST'S ARVIND GAVALI COLLEGE OF ENGINEERING VARYE,SATARA",N/A,N/A,N/A
EN6609,"JAIHIND COLLEGE OF ENGINEERING,KURAN,JUNNAR",N/A,N/A,N/A
EN6622,"ENGINEERING,KURAN,JUNNAR ISB&M SCHOOL OF TECHNOLOGY",N/A,N/A,N/A
EN6625,UNIVERSAL COLLEGE OF ENGINEERING & RESEARCH,N/A,N/A,N/A
EN6628,DATTAKALA GROUP OF INSTITUTIONS FACUTLY OF ENGINEERING,N/A,N/A,N/A
EN6632,"NAVSAHYADRI EDUCATION SOCIETY'S GROUP OF INSTITUTIONS, NAIGAON, TAL. BHOR, DIST",N/A,N/A,N/A
EN6634,PUNE TRINITY ACADEMY OF ENGINEERING,N/A,N/A,N/A
EN6635,"RAJURI'S SAMARTH COLLEGE OF ENGINEERING AND MANAGEMENT, BELHE, TAL. JUNNAR, DIST",N/A,N/A,N/A
EN6640,"N. B. NAVALE SINHGAD COLLEGE OF ENGINEERING, KEGAON, SOLAPUR",5.0,20.0,65.0
EN6643,"S K N SINHGAD COLLEGE OF ENGINEERING, KORTI, PANDHARPUR",5.0,20.0,65.0
EN6644,SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKARE GROUP OF INSTITUTES FACULTY OF,N/A,N/A,N/A
EN6649,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,N/A,N/A,N/A
EN6732,"ENGINEERING, LOHEGAON, PUNE (FORMERLY KNOWN AS DR. D. Y. PATIL SCHOOL OF",N/A,N/A,N/A
EN6754,INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY,N/A,N/A,N/A
EN6755,RAJARSHI SHAHU SCHOOL OF . & RESEARCH,N/A,N/A,N/A
EN6756,FABTECH TECHNICAL CAMPUS-COLLEGE OF ENGINEERING & RESEARCH,N/A,N/A,N/A
EN6757,"YSPM'S YASHODA TECHNICAL CAMPUS, SATARA",N/A,N/A,N/A
EN6758,SATARA SAHYADRI VALLEY COLLEGE OF & TECH,N/A,N/A,N/A
EN6759,SHREE RAMCHANDRA EDUCATION SOCIETY'S SHREE RAMCHANDRA COLLEGE OF,N/A,N/A,N/A
EN6762,NANASAHEB MAHADIK COLLEGE OF ENGINEERING,N/A,N/A,N/A
EN6766,ENGINEERING P.E.S.COLLEGE OF ENGINEERING PHALTAN,N/A,N/A,N/A
EN6767,SUMAN RAMESH TULSIANI TECHNICAL CAMPUS - FACULTY OF ENGINEERING,N/A,N/A,N/A
EN6768,FACULTY OF ENGINEERING P K TECHNICAL CAMPUS,N/A,N/A,N/A
EN6769,RMD SINHGAD SCHOOL OF ENGINEERING,5.0,20.0,65.0
EN6770,SKN SINHGAD INSTITUTE OF TECHNOLGY AND SCIENCE,5.0,20.0,65.0
EN6772,"NBN SINHGAD SCHOOL OF ENGINEERING, AMBEGAON (BK), PUNE 41",5.0,20.0,65.0
EN6780,"AMBEGAON (BK), PUNE 41 D.Y.PATIL TECHNICAL CAMPUS, TALSANDE",N/A,N/A,N/A
EN6781,BHAGWANT INSTITUTE OF TECHNOLOGY,N/A,N/A,N/A
EN6782,SAHAKAR MAHARSHI SHANKARRAO MOHITE- PATIL INSTITUTE OF TECHNOLOGY AND,N/A,N/A,N/A
EN6794,"ANANTRAO PAWAR COLLEGE OF ENGINEERING & RESEARCH, PUNE",N/A,N/A,N/A
EN6795,"OF ENGINEERING AND TECHNOLOGY, PUNE (FORMERLY KNOWN AS SHRI. SOMESHWAR",N/A,N/A,N/A
EN6796,"BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING,LAVALE, PUNE",6.0,22.0,70.0
EN6797,"DNYANSHREE INSTITUTE ENGINEERING AND TECHNOLOGY, SATARA",N/A,N/A,N/A
EN6799,"VISHVESHWARYA TECHNICAL CAMPUS, FACULTY OF DIPLOMA ENGINEERING",N/A,N/A,N/A
EN6803,SANT GAJANAN MAHARAJ COLLEGE OF ENGINEERING,N/A,N/A,N/A
EN6808,"ENGINEERING KEYSTONE SCHOOL OF ENGINEERING, PUNE",N/A,N/A,N/A
EN6811,SANJAY GHODAWAT INSTITUTE,N/A,N/A,N/A
EN6815,"VIDYA PRASARINI SABHA'S COLLEGE OF ENGINEERING & TECHNOLOGY, LONAVALA",N/A,N/A,N/A
EN6822,PIMPRI CHINCHWAD EDUCATION TRUST'S PIMPRI CHINCHWAD COLLEGE OF,6.5,25.0,72.0
EN6834,"DR.D.Y.PATIL COLLEGE OF ENGINEERING & INNOVATION,TALEGAON",N/A,N/A,N/A
EN6839,"DR. D Y PATIL PRATISHTHAN'S COLLEGE OF ENGINEERING, SALOKHENAGAR, KOLHAPUR",N/A,N/A,N/A
EN6878,"DR. A. D. SHINDE COLLEGE OF ENGINEERING, TAL.GADHINGLAJ, KOLHAPUR",N/A,N/A,N/A
EN6901,"MAEER'S MIT COLLEGE OF RAILWAY ENGINEERING AND RESEARCH, JAMGAON",N/A,N/A,N/A
EN6938,SHREE SIDDHESHWAR WOMEN'S COLLEGE OF ENGINEERING SOLAPUR,N/A,N/A,N/A
EN6991,ENGINEERING SOLAPUR. DR D Y PATIL TECHNICAL CAMPUS,N/A,N/A,N/A
HM2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED,N/A,N/A,N/A
MB5152,"G. H. RAISONI INSTITUTE OF BUSINESS MANAGEMENT, JALGAON",N/A,N/A,N/A
MC5151,"MANAGEMENT, JALGAON MET'S INSTITUTE OF ENGINEERING",N/A,N/A,N/A
