college_code,college_name,avg_package_lpa,highest_package_lpa,placement_rate_pct
EN3147,"SARASWATI EDUCATION SOCIETY, YADAVRAO TASAGAONKAR INSTITUTE OF ENGINEERING &",N/A,N/A,N/A
EN3148,MAHAVIR EDUCATION TRUST'S SHAH & ANCHOR KUTCCHI ENGINEERING COLLEGE,7.0,30.0,70.0
EN3154,SARASWATI EDUCATION SOCIETY'S SARASWATI COLLEGE OF,N/A,N/A,N/A
EN3175,"M.G.M.'S COLLEGE OF ENGINEERING AND TECHNOLOGY, KAMOTHE, NAVI MUMBAI",N/A,N/A,N/A
EN3176,"TECHNOLOGY,SHYAMNARAYAN THAKUR Mumbai- MARG, THAKUR VILLAGE, KANDIVALI ( EAST ), Suburb",7.0,30.0,72.0
EN3182,"THADOMAL SHAHANI ENGINEERING COLLEGE, Mumbai- BANDRA, MUMBAI City",9.0,40.0,85.0
EN3183,"ANJUMAN-I-ISLAM'S M.H. SABOO SIDDIK Mumbai- COLLEGE OF ENGINEERING, BYCULLA,MUMBAI City",6.0,22.0,68.0
EN3184,"FR. CONCEICAO RODRIGUES COLLEGE OF Mumbai- ENGINEERING, BANDRA, MUMBAI Suburban",7.0,30.0,78.0
EN3185,VIVEKANAND EDUCATION SOCIETY'S INSTITUTE Mumbai- OF TECHNOLOGY Suburban,8.5,35.0,82.0
EN3187,"N.Y.S.S.'S DATTA MEGHE COLLEGE OF ENGINEERING, AIROLI, NAVI MUMBAI",N/A,N/A,N/A
EN3188,"VASANTDADA PATIL PRATISHTHAN'S COLLEGE OF ENGINEERING AND VISUAL ARTS, SION",5.5,18.0,65.0
EN3189,"BHARATI VIDYAPEETH COLLEGE OF ENGINEERING, BELAPUR,C. B. D. SECTOR -7",6.0,22.0,70.0
EN3190,"TERNA ENGINEERING COLLEGE, NERUL, NAVI MUMBAI",5.5,18.0,68.0
EN3192,"SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,KOPAR KHAIRANE, NAVI MUMBAI",N/A,N/A,N/A
EN3193,"SHIVAJIRAO S. JONDHALE COLLEGE OF ENGINEERING, DOMBIVALI,MUMBAI",N/A,N/A,N/A
EN3194,"VIDYAVARDHINI'S COLLEGE OF ENGINEERING AND TECHNOLOGY, VASAI, THANE",5.5,18.0,65.0
EN3196,"LOKMANYA TILAK COLLEGE OF ENGINEERING, KOPAR KHAIRANE, NAVI MUMBAI",7.0,28.0,72.0
EN3197,"AGNEL CHARITIES' FR. C. RODRIGUES INSTITUTE OF TECHNOLOGY, VASHI, NAVI",6.0,22.0,70.0
