Year,Branch_Name,CAP_Round,College_Code,College_Name,Location,College_Type,Category,Seat_Type,Gender,Rank,Percentile
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,GOPENS,State Level,Any,1865,84.0
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,GSCS,State Level,Any,3148,81.33
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,GSTS,State Level,Any,6522,75.67
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,GNT3S,State Level,Any,2798,82.0
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,GVJS,State Level,Any,3296,81.0
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,GOBCS,State Level,Any,2189,83.33
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,GSEBCS,State Level,Any,4240,79.33
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,LOPENS,State Level,Ladies,1883,84.0
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,LSCS,State Level,Ladies,1957,83.67
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,LNT3S,State Level,Ladies,6038,76.33
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,LOBCS,State Level,Ladies,2249,83.0
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,LSEBCS,State Level,Ladies,2391,82.67
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,PWDOPENS,State Level,Any,20676,56.33
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,EWS,Special,Any,7477,74.33
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,DEFOPENS,State Level,Any,2394,82.67
2025-26,D Pharmacy,CAP Round II,01008,"Government Polytechnic, Amravati",Amravati,Government,ORPHAN,Special,Any,2438,82.67
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GOPENS,State Level,Any,2601,82.33
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GSCS,State Level,Any,6873,75.33
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GSTS,State Level,Any,7476,74.33
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GNT1S,State Level,Any,13811,65.67
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GNT3S,State Level,Any,11154,69.33
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GOBCS,State Level,Any,4510,78.67
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,LOPENS,State Level,Ladies,1792,84.33
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,LSCS,State Level,Ladies,6654,75.67
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,LVJS,State Level,Ladies,3464,80.67
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,TFWS,Special,Any,3153,81.33
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,DEFOPENS,State Level,Any,2614,82.33
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GSEBCS,State Level,Any,3814,80.0
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,LSEBCS,State Level,Ladies,3944,79.67
2025-26,D Pharmacy,CAP Round II,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,ORPHAN,Special,Any,3973,79.67
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOPENS,State Level,Any,3889,80.0
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GSCS,State Level,Any,14402,65.0
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GNT1S,State Level,Any,8261,73.33
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOBCS,State Level,Any,18602,59.33
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GSEBCS,State Level,Any,25700,50.0
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LSTS,State Level,Ladies,11892,68.33
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LNT2S,State Level,Ladies,15847,63.0
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LOBCS,State Level,Ladies,20349,57.0
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,EWS,Special,Any,12626,67.33
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,PWDOPENS,State Level,Any,9082,72.0
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,DEFOPENS,State Level,Any,9902,71.0
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GSEBCS,State Level,Any,27756,47.33
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LSTS,State Level,Ladies,21823,55.0
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GSTS,State Level,Any,12297,67.67
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GVJS,State Level,Any,14890,64.33
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LVJS,State Level,Ladies,15357,63.67
2025-26,D Pharmacy,CAP Round II,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,ORPHAN,Special,Any,29054,45.67
2025-26,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GOPENS,State Level,Any,6658,75.67
2025-26,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GSCS,State Level,Any,22641,54.0
2025-26,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GNT2S,State Level,Any,27493,47.67
2025-26,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GNT3S,State Level,Any,8405,73.0
2025-26,D Pharmacy,CAP Round II,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GVJS,State Level,Any,35890,37.0
