college_code,college_name,annual_fees
EN6313,"SHETKARI SHIKSHAN PRASARAK MANDAL, JAYWANT COLLEGE OF ENGINEERING &",52500
EN6315,"PANHALA, KOLHAPUR (FORMERLY KNOWN AS SANJEEVAN ENGINEERING & TECHNOLOGY",100000
EN6317,"CHARITABLE TRUST'S,SHARAD INSTITUTE OF TECHNOLOGY'S COLLEGE OF ENGINEERING",86000
EN6318,ABHINAV EDUCATION SOCIETY'S COLLEGE OF ENGINEERING AND TECHNOLOGY (DEGREE),63000
EN6319,"SHAHAJIRAO PATIL VIKAS PRATISHTHAN, S.B.PATIL COLLEGE OF ENGINEERING, VANGALI",85000
EN6320,K.J.'S EDUCATIONAL INSTITUTE'S K.J.COLLEGE OF ENGINEERING & MANAGEMENT RESEARCH,96000
EN6321,"VIDYA VIKAS PRATISHTHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY, SOLAPUR",70000
EN6322,PRASARAK MANDAL'S SHARADCHANDRA PAWAR COLLEGE OF ENGINEERING,77000
EN6324,"SHIVAJIRAJE COLLEGE OF ENGINEERING, S. NO. 237, DHANGWADI, TAL. BHOR, DIST. PUNE",117000
EN6325,"ALARD CHARITABLE TRUST'S ALARD COLLEGE OF ENGINEERING AND MANAGEMENT, PUNE",47000
EN6326,"SHELVE, PANDHARPUR (FORMERLY KNOWN AS SHRI PANDURANG PRATISHTAN, KARMAYOGI",105000
EN6444,"SHRIRAM INSTITUTE OF ENGINEERING AND TECHNOLOGY (POLY.), PANIV",85000
EN6466,SHREE SANTKRUPA INSTITUTE OF ENGINEERING AND TECHNOLOGY (B. TECH.),75500
EN6468,DR. BAPUJI SALUNKHE INSTITUTE OF ENGINEERING AND TECHNOLOGY,89356
EN6545,"SAMARTH EDUCATION TRUST'S ARVIND GAVALI COLLEGE OF ENGINEERING VARYE,SATARA",90000
EN6609,"JAIHIND COLLEGE OF ENGINEERING,KURAN,JUNNAR",80500
EN6622,"ENGINEERING,KURAN,JUNNAR ISB&M SCHOOL OF TECHNOLOGY",81000
EN6625,UNIVERSAL COLLEGE OF ENGINEERING & RESEARCH,31000
EN6628,DATTAKALA GROUP OF INSTITUTIONS FACUTLY OF ENGINEERING,102500
EN6632,"NAVSAHYADRI EDUCATION SOCIETY'S GROUP OF INSTITUTIONS, NAIGAON, TAL. BHOR, DIST",103000
EN6634,PUNE TRINITY ACADEMY OF ENGINEERING,95500
EN6635,"RAJURI'S SAMARTH COLLEGE OF ENGINEERING AND MANAGEMENT, BELHE, TAL. JUNNAR, DIST",98500
EN6640,"N. B. NAVALE SINHGAD COLLEGE OF ENGINEERING, KEGAON, SOLAPUR",95500
EN6643,"S K N SINHGAD COLLEGE OF ENGINEERING, KORTI, PANDHARPUR",96000
EN6644,SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKARE GROUP OF INSTITUTES FACULTY OF,93500
EN6649,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,110000
EN6732,"ENGINEERING, LOHEGAON, PUNE (FORMERLY KNOWN AS DR. D. Y. PATIL SCHOOL OF",115000
EN6754,INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY,122000
EN6755,RAJARSHI SHAHU SCHOOL OF . & RESEARCH,106500
EN6756,FABTECH TECHNICAL CAMPUS-COLLEGE OF ENGINEERING & RESEARCH,88000
EN6757,"YSPM'S YASHODA TECHNICAL CAMPUS, SATARA",117000
EN6758,SATARA SAHYADRI VALLEY COLLEGE OF & TECH,74000
EN6759,SHREE RAMCHANDRA EDUCATION SOCIETY'S SHREE RAMCHANDRA COLLEGE OF,76000
EN6762,NANASAHEB MAHADIK COLLEGE OF ENGINEERING,85000
EN6766,ENGINEERING P.E.S.COLLEGE OF ENGINEERING PHALTAN,88000
EN6767,SUMAN RAMESH TULSIANI TECHNICAL CAMPUS - FACULTY OF ENGINEERING,74500
EN6768,FACULTY OF ENGINEERING P K TECHNICAL CAMPUS,82500
EN6769,RMD SINHGAD SCHOOL OF ENGINEERING,95000
EN6770,SKN SINHGAD INSTITUTE OF TECHNOLGY AND SCIENCE,102000
EN6772,"NBN SINHGAD SCHOOL OF ENGINEERING, AMBEGAON (BK), PUNE 41",103000
EN6780,"AMBEGAON (BK), PUNE 41 D.Y.PATIL TECHNICAL CAMPUS, TALSANDE",90000
EN6781,BHAGWANT INSTITUTE OF TECHNOLOGY,65000
EN6782,SAHAKAR MAHARSHI SHANKARRAO MOHITE- PATIL INSTITUTE OF TECHNOLOGY AND,65000
EN6794,"ANANTRAO PAWAR COLLEGE OF ENGINEERING & RESEARCH, PUNE",78000
EN6795,"OF ENGINEERING AND TECHNOLOGY, PUNE (FORMERLY KNOWN AS SHRI. SOMESHWAR",66000
EN6796,"BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING,LAVALE, PUNE",117000
EN6797,"DNYANSHREE INSTITUTE ENGINEERING AND TECHNOLOGY, SATARA",102000
EN6799,"VISHVESHWARYA TECHNICAL CAMPUS, FACULTY OF DIPLOMA ENGINEERING",70000
EN6803,SANT GAJANAN MAHARAJ COLLEGE OF ENGINEERING,75000
EN6808,"ENGINEERING KEYSTONE SCHOOL OF ENGINEERING, PUNE",96000
EN6811,SANJAY GHODAWAT INSTITUTE,90000
EN6815,"VIDYA PRASARINI SABHA'S COLLEGE OF ENGINEERING & TECHNOLOGY, LONAVALA",55000
EN6822,PIMPRI CHINCHWAD EDUCATION TRUST'S PIMPRI CHINCHWAD COLLEGE OF,143000
EN6834,"DR.D.Y.PATIL COLLEGE OF ENGINEERING & INNOVATION,TALEGAON",104500
EN6839,"DR. D Y PATIL PRATISHTHAN'S COLLEGE OF ENGINEERING, SALOKHENAGAR, KOLHAPUR",90000
EN6878,"DR. A. D. SHINDE COLLEGE OF ENGINEERING, TAL.GADHINGLAJ, KOLHAPUR",64500
EN6901,"MAEER'S MIT COLLEGE OF RAILWAY ENGINEERING AND RESEARCH, JAMGAON",88000
EN6938,SHREE SIDDHESHWAR WOMEN'S COLLEGE OF ENGINEERING SOLAPUR,88000
EN6991,ENGINEERING SOLAPUR. DR D Y PATIL TECHNICAL CAMPUS,110000
HM2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED,60000
MB5152,"G. H. RAISONI INSTITUTE OF BUSINESS MANAGEMENT, JALGAON",83000
MC5151,"MANAGEMENT, JALGAON MET'S INSTITUTE OF ENGINEERING",122000
