college_code,college_name,annual_fees
EN3184,"FR. CONCEICAO RODRIGUES COLLEGE OF Mumbai- ENGINEERING, BANDRA, MUMBAI Suburban",207000
EN3185,VIVEKANAND EDUCATION SOCIETY'S INSTITUTE Mumbai- OF TECHNOLOGY Suburban,155000
EN3187,"N.Y.S.S.'S DATTA MEGHE COLLEGE OF ENGINEERING, AIROLI, NAVI MUMBAI",105000
EN3188,"VASANTDADA PATIL PRATISHTHAN'S COLLEGE OF ENGINEERING AND VISUAL ARTS, SION",145000
EN3189,"BHARATI VIDYAPEETH COLLEGE OF ENGINEERING, BELAPUR,C. B. D. SECTOR -7",128500
EN3190,"TERNA ENGINEERING COLLEGE, NERUL, NAVI MUMBAI",139500
EN3192,"SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,KOPAR KHAIRANE, NAVI MUMBAI",109000
EN3193,"SHIVAJIRAO S. JONDHALE COLLEGE OF ENGINEERING, DOMBIVALI,MUMBAI",90000
EN3194,"VIDYAVARDHINI'S COLLEGE OF ENGINEERING AND TECHNOLOGY, VASAI, THANE",136000
EN3196,"LOKMANYA TILAK COLLEGE OF ENGINEERING, KOPAR KHAIRANE, NAVI MUMBAI",157000
EN3197,"AGNEL CHARITIES' FR. C. RODRIGUES INSTITUTE OF TECHNOLOGY, VASHI, NAVI",179000
EN3198,"KONKAN GYANPEETH COLLEGE OF ENGINEERING, KARJAT",104500
EN3199,SHRI VILE PARLE KELVANI MANDAL'S DWARKADAS J. SANGHVI COLLEGE OF,228500
EN3200,"FINOLEX ACADEMY OF MANAGEMENT AND TECHNOLOGY, RATNAGIRI",116500
EN3201,"RIZVI EDUCATION SOCIETY'S RIZVI COLLEGE OF Mumba ENGINEERING, BANDRA,MUMBAI Suburban",108000
EN3202,RAJENDRA MANE COLLEGE OF ENGINEERING & TECHNOLOGY AMBAV DEORUKH,76500
EN3203,"ATHARVA COLLEGE OF Mumbai- ENGINEERING,MALAD(WEST),MUMBAI Suburban",106000
EN3204,"ST. FRANCIS INSTITUTE OF TECHNOLOGY Mumbai- (ENGINEERING COLLEGE), BORIVALI, MUMBAI Suburban",153000
EN3206,"(ENGINEERING COLLEGE), BORIVALI, MUMBAI Suburban S.S.P.M.'S COLLEGE OF ENGINEERING, KANKAVLI",71500
EN3207,"MAHATMA EDUCATION SOCIETY'S PILLAI COLLEGE OF ENGINEERING, NEW PANVEL",146500
EN3208,"DON BOSCO INSTITUTE OF TECHNOLOGY, Mumbai- MUMBAI Suburban",155000
EN3209,"K J SOMAIYA INSTITUTE OF ENGINEERING AND Mumbai- INFORMATION TECHNOLOGY, SION, MUMBAI City",190000
EN3210,"EXCELSIOR EDUCATION SOCIETY'S K.C. COLLEGE OF ENGINEERING, THANE(E)",136000
EN3211,"S.I.E.S. GRADUATE SCHOOL OF TECHNOLOGY, NERUL, NAVI MUMBAI",128000
EN3212,WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING AND COMPUTER TECHNOLOGY,170000
EN3214,XAVIER INSTITUTE OF ENGINEERING,172000
EN3215,BHARATIYA VIDYA BHAVAN'S SARDAR PATEL Mumbai- INSTITUTE OF TECHNOLOGY Suburban,210000
EN3216,"OF TECHNOLOGY,AT & POST: LAVEL, TALUKA: KHED, DISTRICT:RATNAGIRI, PIN:",131000
EN3217,"JONDHLE COLLEGE OF ENGINEERING & TECHNOLOGY, SHAHAPUR, ASANGAON, DIST",80000
EN3218,"ALDEL EDUCATION TRUST'S ST. JOHN COLLEGE OF ENGINEERING & MANAGEMENT, VEVOOR",103500
EN3219,KOTI VIDYA CHARITABLE TRUST'S SMT. ALAMURI RATNAMALA INSTITUTE OF ENGINEERING AND,75500
EN3220,"SARASWATI EDUCATION SOCIETY, YADAVRAO TASGAONKAR COLLEGE OF ENGINEERING AND",53000
EN3221,"LATE SHRI. VISHNU WAMAN THAKUR CHARITABLE TRUST, VIVA INSTITUTE OF",82500
EN3222,"COLLEGE OF ENGINEERING, AT. VILLEGE BETEGAON, CHILHAR ROAD, NEAR UNION PARK",64000
EN3223,MAHATMA EDUCATION SOCIETY'S PILLAIS HOC COLLEGE OF ENGINEERING & TECHNOLOGY,106000
EN3224,G.V. ACHARYA INSTITUTE OF ENGINEERING AND TECHNOLOGY,60500
EN3277,PRAVIN ROHIDAS PATIL COLLEGE OF ENGINEERING AND TECHNOLOGY,85000
EN3351,"BHARAT COLLEGE OF ENGINEERING, KANHOR, BADLAPUR(W)",81000
EN3353,"DILKAP RESEARCH INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES, AT.MAMDAPUR",66500
EN3423,"SHREE L.R. TIWARI COLLEGE OF ENGINEERING, MIRA ROAD (E), DIST - THANE",118000
EN3436,B.R. HARNE COLLEGE OF ENGINEERING & TECHNOLOGY,80000
EN3440,METROPOLITAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT COLLEGE,66000
EN3445,"RESEARCH, SHAHAPUR,DIST THANE (FORMERLY KNOW AS-VISHWATMAK OM GURUDEV",91000
EN3447,COLLEGE OF ENGINEERING) G.M.VEDAK INSTITUTE OF TECHNOLOGY,61500
EN3462,"VPM'S MAHARSHI PARSHURAM COLLEGE OF ENGINEERING, VELNESHWAR, RATNAGIRI",68000
EN3465,"ENGINEERING, VELNESHWAR, RATNAGIRI. IDEAL INSTITUTE OF TECHNOLOGY",108500
EN3467,VISHWANIKETAN'S INSTITUTE OF MANAGEMENT ENTREPRENEURSHIP AND ENGINEERING,80000
EN3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,90000
EN3471,"NEW HORIZON INSTITUTE OF TECHNOLOGY & MANAGEMENT, THANE",84000
EN3475,"PCT'S A. P. SHAH INSTITUTE OF TECHNOLOGY, THANE",136000
EN3477,CHHHATRAPATI SHIVAJI MAHARAJ INSTITUTE OF TECHNOLOGY,90000
EN3503,OF TECHNOLOGY INDALA COLLEGE OF ENGINEERING,73000
EN3721,"SIDDHIVINAYAK TECHNICAL CAMPUS, SCHOOL OF ENGINEERING & RESEARCH TECHNOLOGY",43500
