Year,Branch_Name,CAP_Round,College_Code,College_Name,Location,College_Type,Category,Seat_Type,Gender,Rank,Percentile
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,1183,96.9031208
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSTH,Home University,Any,30786,53.4325425
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCH,Home University,Any,2773,93.6356213
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENH,Home University,Ladies,501,98.4984409
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LVJH,Home University,Ladies,20247,69.5040888
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSEBCH,Home University,Any,1546,96.1189329
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENO,Other than Home University,Any,1464,96.2746191
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT1O,Other than Home University,Any,6896,86.8893987
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENO,Other than Home University,Ladies,1417,96.3626804
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,EWS,Special,Any,1534,96.1308824
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,1466,96.2746191
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCH,Home University,Any,2988,93.2428677
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSTH,Home University,Any,5250,89.5612274
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT3H,Home University,Any,2828,93.5806257
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCH,Home University,Any,1605,95.9567598
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSEBCH,Home University,Any,2369,94.4079256
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENH,Home University,Ladies,1047,97.1800019
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LSCH,Home University,Ladies,2654,93.8788198
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCH,Home University,Ladies,1195,96.8784735
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,PWDOBCH,Home University,Any,26128,60.4390515
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENO,Other than Home University,Any,976,97.367789
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCO,Other than Home University,Any,1571,96.0451437
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSTO,Other than Home University,Any,3692,92.1256914
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GVJO,Other than Home University,Any,3239,92.8369778
2024-25,B Pharmacy,CAP Round II,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCO,Other than Home University,Any,1300,96.6266329
