Year,CAP_Round,College_Code,College_Name,Location,College_Type,Branch_Code,Branch_Name,Category,Seat_Type,Gender,Rank,Percentile
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GOPENS,State Level,Any,40878,77.6308856
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GSCS,State Level,Any,59564,65.5958943
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GSTS,State Level,Any,79827,50.5614783
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GNT1S,State Level,Any,54948,68.7024004
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GNT2S,State Level,Any,52709,70.2135829
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GNT3S,State Level,Any,68001,59.5292331
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GOBCS,State Level,Any,44497,75.4846987
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LOPENS,State Level,Ladies,32388,82.424443
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LSCS,State Level,Ladies,35680,80.5501725
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LVJS,State Level,Ladies,70732,57.4413646
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LOBCS,State Level,Ladies,39863,78.1473584
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,DEFOPENS,State Level,Any,78568,51.2359011
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,TFWS,Special,Any,36594,80.1068911
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,EWS,Special,Any,69892,57.7165019
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,PWDOPENS,State Level,Any,39047,78.482599
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,TFWS,Special,Any,41635,77.0666918
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GOPENS,State Level,Any,6665,96.3108357
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GSCS,State Level,Any,10230,94.4417452
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GNT1S,State Level,Any,9230,94.9538024
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GNT3S,State Level,Any,11944,93.5601746
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GOBCS,State Level,Any,7323,95.9583037
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LOPENS,State Level,Ladies,5798,96.774658
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LSCS,State Level,Ladies,12206,93.4206172
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,PWDOPENS,State Level,Any,76042,53.7302794
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,DEFOPENS,State Level,Any,22926,87.6299679
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,TFWS,Special,Any,6732,96.2887283
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,EWS,Special,Any,9088,95.0512832
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,ORPHAN,Special,Any,6936,96.1795056
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GOPENS,State Level,Any,8951,95.1149971
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GSCS,State Level,Any,10484,94.29291
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GSTS,State Level,Any,45550,74.5211181
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GVJS,State Level,Any,18044,90.3376471
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GNT2S,State Level,Any,10438,94.3125425
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GOBCS,State Level,Any,9767,94.6591943
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LOPENS,State Level,Ladies,8061,95.582729
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LSCS,State Level,Ladies,16255,91.2295664
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LOBCS,State Level,Ladies,9512,94.8367501
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,PWDOPENS,State Level,Any,82853,47.8470482
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,TFWS,Special,Any,7744,95.7632883
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,PWDROBC,State Level,Any,118588,7.0709457
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,EWS,Special,Any,11322,93.8349561
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,ORPHAN,Special,Any,9418,94.8726477
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GOPENS,State Level,Any,26874,85.606492
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GSCS,State Level,Any,39110,78.482599
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GSTS,State Level,Any,71516,56.8099848
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GVJS,State Level,Any,67364,60.0860804
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GNT2S,State Level,Any,40465,77.9458986
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GOBCS,State Level,Any,28241,84.8614274
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,LOPENS,State Level,Ladies,24881,86.5576404
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,LSCS,State Level,Ladies,32567,82.4069575
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,LSTS,State Level,Ladies,94210,36.1623265
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,LVJS,State Level,Ladies,71089,57.2112851
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,LOBCS,State Level,Ladies,26950,85.5965895
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,DEFOPENS,State Level,Any,77884,51.6740911
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,TFWS,Special,Any,18945,89.8715578
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,EWS,Special,Any,36609,80.1068911
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,PWDOPENS,State Level,Any,26357,85.7967175
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,TFWS,Special,Any,29026,84.2234647
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,GOPENS,State Level,Any,12396,93.3030001
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,GNT2S,State Level,Any,16707,91.0449886
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,GNT3S,State Level,Any,54389,69.1685966
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,GOBCS,State Level,Any,14276,92.287017
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,LOPENS,State Level,Ladies,12571,93.1795623
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,LSCS,State Level,Ladies,20794,88.795558
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,LNT1S,State Level,Ladies,25808,86.1713847
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,LNT2S,State Level,Ladies,32970,82.1909278
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,LOBCS,State Level,Ladies,15097,91.8885683
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,TFWS,Special,Any,11804,93.5731551
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,PWDROBC,State Level,Any,92097,39.3128682
