Year,CAP_Round,College_Code,College_Name,Location,College_Type,Branch_Code,Branch_Name,Category,Seat_Type,Gender,Rank,Percentile
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GOPENS,State Level,Any,34240,88.5013511
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GSCS,State Level,Any,62739,77.8445199
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GSTS,State Level,Any,91124,65.8812284
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GVJS,State Level,Any,54224,81.2928705
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GNT1S,State Level,Any,34281,88.4426131
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GNT2S,State Level,Any,41658,85.7455441
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GNT3S,State Level,Any,35923,87.8945473
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GOBCS,State Level,Any,42649,85.3822102
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GSEBCS,State Level,Any,69130,75.3516004
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LOPENS,State Level,Ladies,35071,88.1228442
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LSCS,State Level,Ladies,47557,83.639399
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LSTS,State Level,Ladies,89332,66.8505265
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LVJS,State Level,Ladies,54046,81.3738935
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LNT2S,State Level,Ladies,80230,70.8722936
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LOBCS,State Level,Ladies,47396,83.6467428
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LSEBCS,State Level,Ladies,112136,55.2318816
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,PWDOPENS,State Level,Any,115494,53.7694785
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,PWDOBCS,State Level,Any,153595,27.6622718
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,DEFOPENS,State Level,Any,88930,67.0458361
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,DEFOBCS,State Level,Any,124882,47.9842799
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,TFWS,Special,Any,41891,85.5352459
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,PWDROBCS,State Level,Any,155782,25.6482713
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,DEFRSEBC,State Level,Any,120638,50.6340761
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,EWS,Special,Any,90204,66.1855163
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GOPENS,State Level,Any,7872,97.3911937
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GSCS,State Level,Any,17571,94.1713006
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GSTS,State Level,Any,56026,80.5896708
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GVJS,State Level,Any,17052,94.3331807
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GNT1S,State Level,Any,16746,94.4433332
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GNT2S,State Level,Any,16443,94.5541467
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GOBCS,State Level,Any,8931,97.0436452
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GSEBCS,State Level,Any,15942,94.6903844
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,LOPENS,State Level,Ladies,9308,96.9066937
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,LSCS,State Level,Ladies,15485,94.8376426
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,LSTS,State Level,Ladies,45930,84.2430574
2024-25,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,LNT1S,State Level,Ladies,20457,93.2139295
