Year,CAP_Round,College_Code,College_Name,Location,College_Type,Branch_Code,Branch_Name,Category,Seat_Type,Gender,Rank,Percentile
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GOPENS,State Level,Any,39713,88.2484746
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GSCS,State Level,Any,41066,87.9159305
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GVJS,State Level,Any,49772,85.113912
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GOBCS,State Level,Any,44576,86.6827486
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GSEBCS,State Level,Any,70376,78.4342571
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LOPENS,State Level,Ladies,34638,89.8391608
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LVJS,State Level,Ladies,52805,84.1131441
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LOBCS,State Level,Ladies,36248,89.2945239
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LSEBCS,State Level,Ladies,90850,71.173087
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,PWDOBCS,State Level,Any,43095,87.2335313
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,DEFROBCS,State Level,Any,73224,77.1631566
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,ORPHAN,Special,Any,38374,88.680102
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,PWDOPENS,State Level,Any,40339,88.0599617
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,PWDOBCS,State Level,Any,44243,86.7202099
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,ORPHAN,Special,Any,41077,87.9159305
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GOPENS,State Level,Any,9629,97.2320377
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GSCS,State Level,Any,22376,93.515499
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GVJS,State Level,Any,14098,95.970516
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GNT1S,State Level,Any,19945,94.25259
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GOBCS,State Level,Any,9801,97.1954276
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GSEBCS,State Level,Any,17628,94.9067632
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,LOPENS,State Level,Ladies,9339,97.3358402
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,LSCS,State Level,Ladies,25702,92.52184
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,TFWS,Special,Any,3578,98.9287476
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,EWS,Special,Any,14920,95.7237762
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,GOPENS,State Level,Any,12810,96.3339223
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,GSCS,State Level,Any,29209,91.4198717
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,GVJS,State Level,Any,27356,92.0354593
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,GOBCS,State Level,Any,14231,95.9261851
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,GSEBCS,State Level,Any,21655,93.7361801
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,LOPENS,State Level,Ladies,11984,96.5695839
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,LSCS,State Level,Ladies,30518,91.051072
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,LSTS,State Level,Ladies,105922,65.3084343
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,LSEBCS,State Level,Ladies,21498,93.7635248
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,TFWS,Special,Any,13438,96.1656046
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224610,Information Technology,EWS,Special,Any,23904,93.0332708
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,GOPENS,State Level,Any,26670,92.2398466
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,GSCS,State Level,Any,34319,89.9712654
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,GNT1S,State Level,Any,45017,86.6718198
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,GSEBCS,State Level,Any,56125,83.0707711
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,LOPENS,State Level,Ladies,16655,95.2281725
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,LSCS,State Level,Ladies,35160,89.6700597
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,LOBCS,State Level,Ladies,23981,92.997543
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,LSEBCS,State Level,Ladies,51270,84.6429815
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,DEFOPENS,State Level,Any,51417,84.621564
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,TFWS,Special,Any,18988,94.5106235
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,EWS,Special,Any,72626,77.5384615
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100229310,Electrical Engineering,ORPHAN,Special,Any,26745,92.2299976
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100237210,Electronics and Telecommunication Engg,GOPENS,State Level,Any,16908,95.1229826
2025-26,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,0100237210,Electronics and Telecommunication Engg,GSCS,State Level,Any,28240,91.7377622
