Year,CAP_Round,College_Code,College_Name,Location,College_Type,Branch_Code,Branch_Name,Category,Seat_Type,Gender,Rank,Percentile
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GOPENS,State Level,Any,37591,88.9550679
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GSCS,State Level,Any,58518,82.3322294
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GSTS,State Level,Any,94334,69.4936445
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GVJS,State Level,Any,44057,86.9194446
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GNT1S,State Level,Any,48422,85.5729148
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GNT2S,State Level,Any,41549,87.687217
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GNT3S,State Level,Any,50563,84.8736599
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GOBCS,State Level,Any,44130,86.9194446
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,GSEBCS,State Level,Any,62247,81.1295102
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LOPENS,State Level,Ladies,30071,91.1459607
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LSCS,State Level,Ladies,45170,86.6223776
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LSTS,State Level,Ladies,49208,85.2215842
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LVJS,State Level,Ladies,66707,79.6986029
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LNT2S,State Level,Ladies,62338,81.1295102
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LOBCS,State Level,Ladies,41127,87.9159305
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,LSEBCS,State Level,Ladies,69477,78.6137148
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,PWDOPENS,State Level,Any,131331,53.6060165
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,PWDOBCS,State Level,Any,197856,7.1701886
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,DEFOPENS,State Level,Any,47707,85.8501253
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,DEFOBCS,State Level,Any,85223,73.2612864
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,TFWS,Special,Any,37350,88.9773781
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,PWDRSCS,State Level,Any,200074,4.5709952
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,DEFROBCS,State Level,Any,95765,69.0979021
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,ORPHAN,Special,Any,179315,23.4132019
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100219110,Civil Engineering,EWS,Special,Any,90389,71.4755245
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GOPENS,State Level,Any,9196,97.3737374
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GSCS,State Level,Any,18016,94.783775
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GSTS,State Level,Any,46829,85.9646097
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GVJS,State Level,Any,12192,96.5118421
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GNT1S,State Level,Any,20440,94.0716041
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GNT2S,State Level,Any,15590,95.5372663
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GOBCS,State Level,Any,10583,96.9659622
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,GSEBCS,State Level,Any,16679,95.2142111
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,LOPENS,State Level,Ladies,8473,97.5647615
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,LSCS,State Level,Ladies,25163,92.6752061
2025-26,CAP Round I,01002,"Government College of Engineering, Amravati",Amravati,Government,0100224210,Computer Science and Engineering,LSTS,State Level,Ladies,35441,89.5868952
