Year,CAP_Round,College_Code,College_Name,Location,College_Type,Branch_Code,Branch_Name,Category,Seat_Type,Gender,Rank,Percentile
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GOPENS,State Level,Any,40678,77.8495773
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GSCS,State Level,Any,55830,68.2985361
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GSTS,State Level,Any,86718,43.3167495
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GVJS,State Level,Any,45691,74.5106403
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GNT1S,State Level,Any,41586,77.0666918
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GNT2S,State Level,Any,51711,70.9263207
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GNT3S,State Level,Any,49334,72.5765063
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GOBCS,State Level,Any,46967,74.0962113
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LOPENS,State Level,Ladies,30535,83.4045178
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LSCS,State Level,Ladies,50420,71.6451268
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LSTS,State Level,Ladies,79098,50.9996691
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LVJS,State Level,Ladies,40679,77.8495773
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LNT2S,State Level,Ladies,72814,55.8902921
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LOBCS,State Level,Ladies,41709,77.0666918
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,DEFOPENS,State Level,Any,88218,42.7946749
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,TFWS,Special,Any,19635,89.407761
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,DEFROBCS,State Level,Any,98060,32.4992712
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,EWS,Special,Any,52672,70.2135829
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GOPENS,State Level,Any,6412,96.4453291
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GSCS,State Level,Any,9920,94.6469248
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GSTS,State Level,Any,41139,77.1458362
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GVJS,State Level,Any,17056,90.8078665
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GNT1S,State Level,Any,7766,95.7384206
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GNT2S,State Level,Any,9524,94.8196814
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GNT3S,State Level,Any,10818,94.1471246
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GOBCS,State Level,Any,6904,96.1905225
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LOPENS,State Level,Ladies,4603,97.3751017
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LSCS,State Level,Ladies,8998,95.1073753
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LSTS,State Level,Ladies,32400,82.424443
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LVJS,State Level,Ladies,15893,91.4761117
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LNT1S,State Level,Ladies,7378,95.95134
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LNT2S,State Level,Ladies,14019,92.4735769
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LOBCS,State Level,Ladies,6218,96.5320687
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,PWDOPENS,State Level,Any,79110,50.9996691
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,DEFOPENS,State Level,Any,15876,91.4761117
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,TFWS,Special,Any,4763,97.3134328
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,PWDROBC,State Level,Any,79305,50.816249
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,DEFRSCS,State Level,Any,23301,87.4346052
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,EWS,Special,Any,7872,95.7059576
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GOPENS,State Level,Any,8456,95.3393686
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GSCS,State Level,Any,13932,92.5142196
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GSTS,State Level,Any,44445,75.4846987
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GVJS,State Level,Any,16510,91.1038771
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GNT1S,State Level,Any,9228,94.9538024
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GNT2S,State Level,Any,9942,94.6205981
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GNT3S,State Level,Any,20505,88.9823699
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GOBCS,State Level,Any,8735,95.2545256
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LOPENS,State Level,Ladies,8400,95.3875689
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LSCS,State Level,Ladies,14435,92.2302228
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LSTS,State Level,Ladies,31172,83.1650789
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LNT1S,State Level,Ladies,21744,88.2761636
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LNT2S,State Level,Ladies,17754,90.4382847
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LOBCS,State Level,Ladies,9179,94.9790794
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,PWDOPENS,State Level,Any,80636,49.0525702
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,DEFOPENS,State Level,Any,24544,86.8356112
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,TFWS,Special,Any,7435,95.9209717
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,PWDROBC,State Level,Any,93664,37.5478565
2022-23,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,DEFROBCS,State Level,Any,28236,84.8614274
