Sr No,Department Name,Course Name,AY,Total Intake (SI + Over and Above),Total Admitted Male,Total Admitted Female,Total Admitted Other,Total Admitted (SI + Over and Above)
1,Technical Education,Bachelor of Engineering and Technology (BE/BTech),2023-24,158585,79411,38626,0,118037
1,Technical Education,Bachelor of Engineering and Technology (BE/BTech),2024-25,180170,96326,52751,1,149078
